"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.812385692644527 0.0194876686666564 41.687166717614 0 0.77419056391523 0.850580821373823
"2" "FD" "=~" "FD5" 0.528906649953108 0.0289733953916752 18.2549074005002 0 0.472119838475586 0.58569346143063
"3" "FD" "=~" "FD9" 0.84706075971108 0.0187100105439528 45.2731310717971 0 0.810389812894568 0.883731706527592
"4" "FD" "=~" "FD13" 0.357039502071608 0.0340953076880691 10.4718075970479 0 0.290213926961181 0.423865077182035
"5" "FD" "=~" "FD17" 0.348257703246273 0.0343062622066057 10.1514324454506 0 0.281018664877138 0.415496741615408
"6" "SD" "=~" "SD2" 0.546800146441524 0.0323278308012722 16.9142232215595 0 0.483438762372725 0.610161530510322
"7" "SD" "=~" "SD6" 0.211886351652678 0.0399275827409174 5.3067663281188 1.11587076245812e-07 0.133629727490736 0.290142975814619
"8" "SD" "=~" "SD10" 0.641683278959426 0.0296450808480697 21.6455229873731 0 0.583579988178431 0.699786569740421
"9" "SD" "=~" "SD14" 0.368831917017175 0.0370570959074376 9.95307128055729 0 0.29620134366695 0.441462490367399
"10" "SD" "=~" "SD18" 0.291787435318872 0.0386469434432678 7.55007794464275 4.35207425653061e-14 0.216040818057511 0.367534052580233
"11" "SD" "=~" "SD22" 0.566605386179234 0.0317536384319916 17.8437941022967 0 0.504369398474424 0.628841373884045
"12" "SD" "=~" "SD24" 0.553203095018359 0.0321421252624981 17.2111548474304 0 0.490205687117287 0.61620050291943
"13" "UP" "=~" "UP3" 0.365739436565675 0.0341515011931274 10.7093223954465 0 0.298803724209169 0.432675148922182
"14" "UP" "=~" "UP7" 0.706720097175777 0.0222411721363397 31.7753081017286 0 0.663128200814595 0.750311993536959
"15" "UP" "=~" "UP11" 0.707103469695864 0.0222251680040645 31.8154386759438 0 0.663542940857545 0.750663998534182
"16" "UP" "=~" "UP15" 0.657201103492902 0.0242984232904295 27.0470678544709 0 0.609577068962551 0.704825138023253
"17" "UP" "=~" "UP19" 0.648946681076336 0.0246366654175448 26.3406865368311 0 0.600659704158784 0.697233657993887
"18" "UP" "=~" "UP20" 0.318527766522994 0.0352540042736288 9.03522232682269 0 0.24943118783586 0.387624345210128
"19" "UP" "=~" "UP25" 0.403372359416242 0.033167130214378 12.1618107086449 0 0.338365978725511 0.468378740106973
"20" "UP" "=~" "UP27" 0.702727725639974 0.0224078518048847 31.3607806655873 0 0.658809143131489 0.746646308148459
"21" "FW" "=~" "FW4" 0.334083791441761 0.0390728919462863 8.55027039977045 0 0.257502330455215 0.410665252428307
"22" "FW" "=~" "FW8" 0.618162929400338 0.0325996772505861 18.9622407807496 0 0.554268736081559 0.682057122719116
"23" "FW" "=~" "FW12" 0.313783932044526 0.0394607488734948 7.95179871143526 1.77635683940025e-15 0.236442285449497 0.391125578639555
"24" "FW" "=~" "FW16" 0.580939033203691 0.0333812943156403 17.4031308585749 0 0.515512898587705 0.646365167819678
"25" "FW" "=~" "FW21" 0.440233282358749 0.0367501935103649 11.9790738580624 0 0.368204226653556 0.512262338063942
"26" "FW" "=~" "FW23" 0.548652423287223 0.034119149439206 16.0804836083273 0 0.48178011920324 0.615524727371207
"27" "FW" "=~" "FW26" 0.38557448490538 0.0380020349722138 10.1461536253862 0 0.31109186502061 0.460057104790151
"28" "FD1" "~~" "FD1" 0.340029486386473 0.0316630059942325 10.7390146863633 0 0.277971134995501 0.402087837777444
"29" "FD5" "~~" "FD5" 0.72025775563538 0.0306484432314412 23.5006310172548 0 0.660187910719535 0.780327600551225
