"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.571879557728091 0.0279496807389359 20.4610407921913 0 0.517099190100384 0.626659925355798
"2" "FD" "=~" "FD5" 0.684099041107914 0.0245275301206996 27.8910692491854 0 0.636025965441621 0.732172116774206
"3" "FD" "=~" "FD9" 0.736001874377018 0.023137048252902 31.8105346166923 0 0.690654093092765 0.781349655661272
"4" "FD" "=~" "FD13" 0.587347004488837 0.027465171110704 21.3851573005468 0 0.533516258282628 0.641177750695047
"5" "FD" "=~" "FD17" 0.456902449706059 0.0313395464393917 14.5791021765319 0 0.39547806739303 0.518326832019087
"6" "SD" "=~" "SD2" 0.627003617560154 0.0321229204912253 19.5188858289341 0 0.564043850319109 0.689963384801199
"7" "SD" "=~" "SD6" 0.186638588649421 0.0395138540268969 4.72337090991876 2.31967222696916e-06 0.10919285786633 0.264084319432512
"8" "SD" "=~" "SD10" 0.609891446084452 0.0323314038117501 18.8637477554501 0 0.546523059043801 0.673259833125103
"9" "SD" "=~" "SD14" 0.335296177760004 0.037403188271446 8.96437424870468 0 0.261987275840998 0.408605079679009
"10" "SD" "=~" "SD18" 0.256973130710767 0.038649004613234 6.64889389215408 2.95303781427947e-11 0.181222473630506 0.332723787791028
"11" "SD" "=~" "SD22" 0.431780079300711 0.0355488685589989 12.146099068782 0 0.362105577233925 0.501454581367497
"12" "SD" "=~" "SD24" 0.462097400282368 0.0349253058904326 13.2310194141765 0 0.393645058588076 0.530549741976661
"13" "UP" "=~" "UP3" 0.464103798331272 0.031471432886349 14.7468277026745 0 0.402420923332158 0.525786673330385
"14" "UP" "=~" "UP7" 0.372310496011016 0.0337589096129649 11.0285107036761 0 0.306144249012262 0.438476743009771
"15" "UP" "=~" "UP11" 0.659133137892738 0.0256829310803098 25.6642489843409 0 0.608795517957907 0.70947075782757
"16" "UP" "=~" "UP15" 0.395853569653942 0.0332135603165242 11.918432287339 0 0.330756187635206 0.460950951672678
"17" "UP" "=~" "UP19" 0.701636006005013 0.0244722881778308 28.6706335307304 0 0.653671202557179 0.749600809452847
"18" "UP" "=~" "UP20" 0.442825031638321 0.0320390733549084 13.8214057171063 0 0.380029601764663 0.505620461511978
"19" "UP" "=~" "UP25" 0.574869778846607 0.0282361452737605 20.3593575990285 0 0.519527951047796 0.630211606645418
"20" "UP" "=~" "UP27" 0.28355017680259 0.0355360039966118 7.97923640569224 1.55431223447522e-15 0.213900888814759 0.35319946479042
"21" "FW" "=~" "FW4" 0.507125480722915 0.0315796569881501 16.0586126984599 0 0.445230490382012 0.569020471063818
"22" "FW" "=~" "FW8" 0.514610960435584 0.0313794417519923 16.3996212712392 0 0.453108384746707 0.576113536124461
"23" "FW" "=~" "FW12" 0.46436381912032 0.0326963048869079 14.2023332828126 0 0.400280239114439 0.5284473991262
"24" "FW" "=~" "FW16" 0.60526734114177 0.0289302084669744 20.9216377349206 0 0.548565174481265 0.661969507802276
"25" "FW" "=~" "FW21" 0.575638399450863 0.0297252521632169 19.3652991163916 0 0.517377975779587 0.63389882312214
"26" "FW" "=~" "FW23" 0.562021082269468 0.0300948735517917 18.6749773612525 0 0.503036213988669 0.621005950550267
"27" "FW" "=~" "FW26" 0.335391519094975 0.0356305136360063 9.41304193706729 0 0.26555699561774 0.405226042572211
"28" "FD1" "~~" "FD1" 0.672953771452723 0.0319677024757261 21.0510521350013 0 0.610298225931808 0.735609316973638
