"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.181025386447685" "0.179674239177817" "-0.0563812194533699" "0.688484422506079" "0.722287661375273" "0.769799198638587" "0.687946545777316" "0.639096721216005" "0.175650193289383" "-0.0064440199652488" "0.216489499353107" "-0.0161425555410791" "0.123386674670014" "0.0842928208507699" "0.118362114695298" "0.11151978529534" "0.0475842222868546" "0.175916657851827" "0.173673529649406" "0.13515371299582" "0.187750254387735" "0.18219517214818" "-0.160024135796803" "-0.115407478274663" "-0.0500707995270692" "-0.0101787809583065" "0.0165153783363823" "-0.117232346251761" "-0.00167898761101156" "0.0448475625686633" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.181025386447685" "1" "0.114464841387757" "0.135479372169251" "0.16617109767239" "0.145663478641104" "0.140181496919899" "0.138824496384018" "0.0496032686400365" "0.612757114127163" "0.437982357591036" "0.583040143749747" "0.535594290676653" "0.471223286859504" "0.587753924691124" "0.569503851671544" "0.161209823161026" "-0.0119517325096036" "0.0737697479791931" "0.00193125372050383" "0.0741054801282224" "0.169837776396527" "0.150920123883146" "-0.0748616069133012" "0.0796339777802529" "0.13390618646241" "0.0536056622717858" "0.0851301803831611" "0.0376279816472153" "0.12747237637244" "0.0638171462918666" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.179674239177817" "0.114464841387757" "1" "0.0898805707947361" "0.161553174923305" "0.0741023424926285" "0.0816566403935348" "0.196821925932196" "0.112650845587785" "0.0733875210176036" "-0.0386663296604145" "-0.0328211942986868" "0.135944207479295" "0.0917717251951808" "0.0898473998473565" "0.115304752070379" "0.559583890957612" "0.554201175226087" "0.672043401268128" "0.497834788307566" "0.71585678423223" "0.523256880769824" "0.601796843340858" "0.477867287088874" "-0.0284201096201573" "0.0507923391586776" "0.0642578674671832" "0.103692102964038" "0.0511386219962408" "0.0738103284485381" "0.0672848506549655" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.0563812194533699" "0.135479372169251" "0.0898805707947361" "1" "-0.0977995069578411" "-0.113317610297025" "0.0166854658242171" "0.00261783108632157" "-0.00993054101137396" "-0.0393796381639561" "0.113235374574608" "-0.0283290370937296" "0.16388065037159" "0.15188312538927" "0.100957184991938" "0.0437423959835556" "-0.0286831864470989" "0.109027029209373" "0.0385323129930745" "0.160536025263964" "0.0907527437396732" "-0.0262667189734245" "0.0185480227941018" "0.0476992975085602" "0.609123457712123" "0.59601403314437" "0.601493192796123" "0.647232831843914" "0.655043269565559" "0.611104189196343" "0.511272620075446" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.688484422506079" "0.16617109767239" "0.161553174923305" "-0.0977995069578411" "1" "0.387959487303336" "0.38137377210552" "0.338963350116647" "0.310508382602433" "0.209174251096175" "0.00316872675674139" "0.137243168123435" "-0.00218781773194756" "0.0780494964617065" "0.100389735249161" "0.110052922516551" "0.142246643391172" "0.0109744065486573" "0.15777310149213" "0.0946502924523103" "0.0890237210160899" "0.208513224710029" "0.191639725212396" "-0.123550260989303" "-0.144977118916097" "-0.0948477403711801" "-0.0210395969233804" "-0.0201238540069236" "-0.139584351331028" "-0.0319309238899248" "0.0424500798332079" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.722287661375273" "0.145663478641104" "0.0741023424926285" "-0.113317610297025" "0.387959487303336" "1" "0.534006987973225" "0.391768210294553" "0.254091195688733" "0.134356011710798" "0.0234547967394036" "0.19849128619069" "-0.0186552771759899" "0.0727149737876659" "0.0435846398472971" "0.105369528621677" "0.0459641903119378" "0.0169559380003992" "0.0532609015592734" "0.0838106575840023" "0.0810316073051544" "0.0944015460377913" "0.120676059396019" "-0.133582477244859" "-0.0998155949709414" "-0.093058916486331" "-0.116795708857892" "-0.00713551840190183" "-0.084436746059725" "-0.028273127714266" "-0.0488034278103089" "1" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.769799198638587" "0.140181496919899" "0.0816566403935348" "0.0166854658242171" "0.38137377210552" "0.534006987973225" "1" "0.432210193760013" "0.368758011615296" "0.101632521676784" "0.023047576602536" "0.204423555366804" "-0.0218833353848001" "0.0928728256949546" "0.0536583172133415" "0.0852954256693688" "0.0312263586788066" "0.017147714219711" "0.09205656037444" "0.136267572358517" "0.0777799122478074" "0.114959976302573" "0.0831304069708511" "-0.157406407650483" "-0.0339959474268453" "-0.00147474628325257" "0.0608982238557776" "0.0597271647665581" "-0.0416042020796987" "0.0045785239138456" "0.025210201089521" "1" "0" "0" "0" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.687946545777316" "0.138824496384018" "0.196821925932196" "0.00261783108632157" "0.338963350116647" "0.391768210294553" "0.432210193760013" "1" "0.254841979935026" "0.118030377602164" "0.00539652119863396" "0.147114607927797" "0.0575074178898233" "0.0697138271491801" "0.0674142232352212" "0.0673683628118105" "0.11917448482684" "0.0793379405485331" "0.201914995664978" "0.158325971713608" "0.137588533754799" "0.0966305169939058" "0.159263451234823" "-0.0360449360949816" "-0.0417399858067465" "0.0314325752405021" "0.0316698544980558" "-0.0182873071636354" "-0.0625464022773831" "0.0302676203148725" "0.0472801238114799" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.639096721216005" "0.0496032686400365" "0.112650845587785" "-0.00993054101137396" "0.310508382602433" "0.254091195688733" "0.368758011615296" "0.254841979935026" "1" "0.056821143514271" "-0.0711159689762335" "0.0788629809632318" "-0.0679428800786747" "0.11606895315585" "0.0313930272010157" "0.0497867541656431" "0.0514890993870085" "0.0404209583272591" "0.108236252493782" "0.132680536054188" "0.0871931526956273" "0.140612421695216" "0.0850867398945622" "-0.111777522858661" "-0.0834680761794116" "-0.0205182901202058" "0.00540750361217309" "0.0416846250053608" "-0.0817795275451685" "0.0169647935222863" "0.0836377013905812" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.175650193289383" "0.612757114127163" "0.0733875210176036" "-0.0393796381639561" "0.209174251096175" "0.134356011710798" "0.101632521676784" "0.118030377602164" "0.056821143514271" "1" "0.10766550508689" "0.484204694845042" "0.189612450613348" "0.109451431465112" "0.2029096356865" "0.237953743643247" "0.141923581771327" "0.0318941472248444" "0.0199727930704933" "-0.040897283909207" "-0.00194635257867926" "0.144776056702432" "0.0929353369990759" "-0.0451837161263855" "-0.0496101627625273" "0.0210135425557551" "-0.0747526948621607" "0.0125749485573458" "-0.0777421833519303" "0.0384397367301886" "-0.0279975417580435" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
