"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"SD6" "0.311347575705136" "0.542043789726566" "0.0399469951835109" "0.0833623795147947" "0.303873244975358" "0.215502587594285" "0.312525721512752" "0.174584491385359" "0.0801956051429218" "0.207130512014433" "1" "0.267127565958866" "0.271028066866878" "0.199707569555367" "0.0819111697916593" "0.158801631053193" "0.0873996618623765" "-0.0690121261449566" "-0.0417436870721284" "0.0158910219238094" "0.0386428597062606" "0.110639474144516" "0.136692647322561" "-0.0746278279527333" "-0.0583953010774037" "0.0239704868203733" "0.180638063190671" "-0.0633011934843433" "0.0256626075984763" "0.0547217046272699" "0.145761511009793" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.467365289114206" "0.668214325924789" "0.143593591151925" "0.0482313776772754" "0.398362836897448" "0.358086169946795" "0.432809823858902" "0.283788470191226" "0.165691875411292" "0.405443353906455" "0.267127565958866" "1" "0.243530913176785" "0.219523440727304" "0.257334259906196" "0.313038533498462" "0.174121381962392" "0.0128299883418789" "0.00399958838146678" "0.0682069142962282" "0.0591075118852059" "0.258181365277599" "0.168445880472707" "-0.017026864498064" "-0.0666867152935844" "0.0655161783648626" "0.00213915642378008" "-0.00678443863958488" "0.0306127812427999" "0.0709616950800512" "0.0924692216128882" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.210071028446698" "0.571388040554291" "0.0870907926301054" "0.194308654872363" "0.19056190870365" "0.0985401421934032" "0.182374696575181" "0.103953709160272" "0.16702962354293" "0.257438942963159" "0.271028066866878" "0.243530913176785" "1" "0.190887458969291" "0.196318692672748" "0.213158862940246" "0.0982873663646854" "-0.00820959660870048" "0.0266465591094677" "0.0884512494811861" "0.0104800859398325" "0.127556402746633" "0.111124207175245" "-0.00887404367152739" "0.0862856218059072" "0.111907307478175" "0.135633901635571" "0.0700667311494332" "0.132510382266726" "0.108300408975816" "0.13464444569547" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" "0.281662788033733" "0.519861841402326" "0.219725890635304" "0.199425285321784" "0.239577184981002" "0.150116386221174" "0.23425311372432" "0.183733311493027" "0.18719180051257" "0.219545046714041" "0.199707569555367" "0.219523440727304" "0.190887458969291" "1" "0.125810310635237" "0.165822058373249" "0.207322348637762" "0.0710728267511582" "0.0996486482191074" "0.140699345903535" "0.107605677071733" "0.178290427230002" "0.224647779386817" "0.0841327327546737" "0.0626438244840251" "0.0859727056659904" "0.167197272628981" "0.037402090919709" "0.165265535734336" "0.155978413091494" "0.123782459190389" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD22" "0.250458122756652" "0.549937954682842" "0.225535465871729" "0.210251702963812" "0.194907648440266" "0.137875914824777" "0.19087416814116" "0.160628502794396" "0.20453211304815" "0.27741544594516" "0.0819111697916593" "0.257334259906196" "0.196318692672748" "0.125810310635237" "1" "0.340462827165878" "0.172847847855712" "0.112124682495701" "0.126839594840096" "0.135596071963259" "0.0996217105543504" "0.242414717068127" "0.143359728594086" "0.110224548049183" "0.109811564076592" "0.162202023430363" "0.0142529548542585" "0.177608469102156" "0.102937669605929" "0.122690788585147" "0.165889070253116" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD24" "0.290149982248969" "0.604448138480245" "0.197331953638182" "0.114694153105391" "0.231029471548227" "0.21750008962374" "0.238492013291133" "0.200183338168391" "0.135001846418601" "0.245977824060114" "0.158801631053193" "0.313038533498462" "0.213158862940246" "0.165822058373249" "0.340462827165878" "1" "0.17604793675639" "0.0907517354797706" "0.084465047365662" "0.0950405960674182" "0.0811052359876984" "0.234813044475222" "0.159694364874911" "0.0763027367542445" "0.0332774665536113" "0.10929111138078" "0.0142777386072479" "0.0710218276157029" "0.0658507629162962" "0.0635313743850504" "0.106384939407977" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP3" "0.254236498656623" "0.272719737657015" "0.612054963223787" "0.161378191006511" "0.18286287038986" "0.139519616992616" "0.154589795241647" "0.195722215113005" "0.234735273178452" "0.199790427968976" "0.0873996618623765" "0.174121381962392" "0.0982873663646854" "0.207322348637762" "0.172847847855712" "0.17604793675639" "1" "0.248047613611882" "0.276002601617541" "0.213530343105651" "0.27795892956829" "0.331152888763103" "0.491549223564933" "0.234189127737406" "0.0774296476601857" "0.106101787422601" "0.0264702900538064" "0.0889585960521141" "0.129350969781029" "0.138142368547586" "0.0929834367795205" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP7" "0.12878969033175" "0.0734465443627029" "0.677650230006639" "0.207178101942598" "0.0561376231581911" "0.0770698706149293" "0.021066886700425" "0.121755968499726" "0.193714063130482" "0.0963089512483574" "-0.0690121261449566" "0.0128299883418789" "-0.00820959660870048" "0.0710728267511582" "0.112124682495701" "0.0907517354797706" "0.248047613611882" "1" "0.480798402117639" "0.258595262919145" "0.434101566438517" "0.200373161017498" "0.262153886774606" "0.521267426323732" "0.159476205027896" "0.137921105914421" "-0.0131468658274472" "0.212878939536961" "0.163658427416862" "0.132437430802984" "0.0647122494024158" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"UP11" "0.152818678546901" "0.0969156028688551" "0.697020261734113" "0.220556297431546" "0.0781311842936058" "0.0612236010654784" "0.0622225551028662" "0.112222777473713" "0.240941018743993" "0.104124726957679" "-0.0417436870721284" "0.00399958838146678" "0.0266465591094677" "0.0996486482191074" "0.126839594840096" "0.084465047365662" "0.276002601617541" "0.480798402117639" "1" "0.303759196341543" "0.419979480539838" "0.25836232113361" "0.287999092087804" "0.496541985462646" "0.169855780624666" "0.148214397381272" "0.00457443166516962" "0.206772507548768" "0.176587158711747" "0.148755967560563" "0.0571752258866529" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP15" "0.174649510760246" "0.159484510499091" "0.541272229080807" "0.176182568489296" "0.102384491661164" "0.0788332151323331" "0.0844986476240359" "0.125771960097391" "0.238864939491747" "0.114326997409593" "0.0158910219238094" "0.0682069142962282" "0.0884512494811861" "0.140699345903535" "0.135596071963259" "0.0950405960674182" "0.213530343105651" "0.258595262919145" "0.303759196341543" "1" "0.300163958733516" "0.206058460352195" "0.251452194382725" "0.259981887533812" "0.140817226923847" "0.108243648099373" "0.0690617387380983" "0.0934049735945784" "0.148750149966093" "0.134028344722801" "0.0285016476402922" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP19" "0.246870073995245" "0.126288662972548" "0.669203092806116" "0.142835918008781" "0.149817435050673" "0.159899346316346" "0.143988653979229" "0.228037678196099" "0.199338639239217" "0.121427106184052" "0.0386428597062606" "0.0591075118852059" "0.0104800859398325" "0.107605677071733" "0.0996217105543504" "0.0811052359876984" "0.27795892956829" "0.434101566438517" "0.419979480539838" "0.300163958733516" "1" "0.225553719400536" "0.303736574459787" "0.415606781338" "0.0862307427195042" "0.112745400566418" "-0.024479816338245" "0.109825869942881" "0.153152256778782" "0.108218145101344" "0.0479710039364372" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP20" "0.425571016815436" "0.33974359207993" "0.546009681975002" "0.109061780417676" "0.330243369899849" "0.279143145990711" "0.299017345102832" "0.312519139954976" "0.287874807832643" "0.236751378664807" "0.110639474144516" "0.258181365277599" "0.127556402746633" "0.178290427230002" "0.242414717068127" "0.234813044475222" "0.331152888763103" "0.200373161017498" "0.25836232113361" "0.206058460352195" "0.225553719400536" "1" "0.332813129920504" "0.213990533702596" "0.0353476877706874" "0.118009163711171" "-0.0587211018373995" "0.11246846374761" "0.0650337764215057" "0.0813030253660549" "0.0961258974837924" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP25" "0.302848240575713" "0.281595543106203" "0.633868626945927" "0.103481330611112" "0.221585821519694" "0.223946629131806" "0.182693113775785" "0.243156010778445" "0.205123685411154" "0.207079294270565" "0.136692647322561" "0.168445880472707" "0.111124207175245" "0.224647779386817" "0.143359728594086" "0.159694364874911" "0.491549223564933" "0.262153886774606" "0.287999092087804" "0.251452194382725" "0.303736574459787" "0.332813129920504" "1" "0.27053884275056" "0.0433712495752133" "0.0722858353919712" "0.00284500080784569" "0.0508759213191719" "0.113663223871018" "0.0791099168763472" "0.0633604725043795" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"UP27" "0.139057979741155" "0.0593760663182364" "0.677315119437076" "0.204452889568593" "0.0530596911366837" "0.0798175275257863" "0.0255382415201086" "0.140877468895782" "0.207954133895366" "0.0794104631342264" "-0.0746278279527333" "-0.017026864498064" "-0.00887404367152739" "0.0841327327546737" "0.110224548049183" "0.0763027367542445" "0.234189127737406" "0.521267426323732" "0.496541985462646" "0.259981887533812" "0.415606781338" "0.213990533702596" "0.27053884275056" "1" "0.165503848810594" "0.133142234236975" "0.000990496966547275" "0.203638820072995" "0.152079903109956" "0.143464566678548" "0.0471304310342684" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW4" "-0.0859266642697806" "0.050325129568717" "0.173247336905543" "0.616532205021094" "-0.056544402171207" "-0.1517640686775" "-0.0962723909912918" "-0.105780355022248" "0.11827953489008" "0.0525520366032566" "-0.0583953010774037" "-0.0666867152935844" "0.0862856218059072" "0.0626438244840251" "0.109811564076592" "0.0332774665536113" "0.0774296476601857" "0.159476205027896" "0.169855780624666" "0.140817226923847" "0.0862307427195042" "0.0353476877706874" "0.0433712495752133" "0.165503848810594" "1" "0.220873124134612" "0.185708007205424" "0.295498795531494" "0.409234954819343" "0.221493113180707" "0.222393294656936" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0"
"FW8" "0.0956680793652808" "0.165883976938511" "0.185167240743087" "0.577015432318318" "0.0623433053057717" "0.0331535475223647" "0.0438198624453494" "0.05404039961267" "0.153134099519152" "0.12759734446774" "0.0239704868203733" "0.0655161783648626" "0.111907307478175" "0.0859727056659904" "0.162202023430363" "0.10929111138078" "0.106101787422601" "0.137921105914421" "0.148214397381272" "0.108243648099373" "0.112745400566418" "0.118009163711171" "0.0722858353919712" "0.133142234236975" "0.220873124134612" "1" "0.0935983085389691" "0.331744224590087" "0.185253067365181" "0.316739208740967" "0.185531335262793" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0"
"FW12" "-0.0289432742922194" "0.130611349974548" "0.000707336314888178" "0.511244990594469" "0.0720666630970658" "-0.156092789189882" "0.0365575403183406" "-0.138914226737295" "0.081648274324152" "0.0197663555843166" "0.180638063190671" "0.00213915642378008" "0.135633901635571" "0.167197272628981" "0.0142529548542585" "0.0142777386072479" "0.0264702900538064" "-0.0131468658274472" "0.00457443166516962" "0.0690617387380983" "-0.024479816338245" "-0.0587211018373995" "0.00284500080784569" "0.000990496966547275" "0.185708007205424" "0.0935983085389691" "1" "0.0851741033520799" "0.215508945109287" "0.132946629343711" "0.262081574492518" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0"
"FW16" "0.0408477522884706" "0.0884055007765337" "0.213902736125492" "0.595163863354608" "0.0174903724271224" "-0.0055856061708897" "-0.00497267998343517" "0.00635303854469908" "0.141132089217878" "0.088707964254557" "-0.0633011934843433" "-0.00678443863958488" "0.0700667311494332" "0.037402090919709" "0.177608469102156" "0.0710218276157029" "0.0889585960521141" "0.212878939536961" "0.206772507548768" "0.0934049735945784" "0.109825869942881" "0.11246846374761" "0.0508759213191719" "0.203638820072995" "0.295498795531494" "0.331744224590087" "0.0851741033520799" "1" "0.224617127103457" "0.280687758563388" "0.209378309708191" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"FW21" "0.0265757105822438" "0.15054218362434" "0.217824215797699" "0.596999452298211" "0.0554802050103577" "-0.0653112846521583" "0.00206531282036666" "-0.0147746363426407" "0.122814099379297" "0.101554367615111" "0.0256626075984763" "0.0306127812427999" "0.132510382266726" "0.165265535734336" "0.102937669605929" "0.0658507629162962" "0.129350969781029" "0.163658427416862" "0.176587158711747" "0.148750149966093" "0.153152256778782" "0.0650337764215057" "0.113663223871018" "0.152079903109956" "0.409234954819343" "0.185253067365181" "0.215508945109287" "0.224617127103457" "1" "0.228639733284087" "0.208876300510413" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0"
"FW23" "0.110477579626634" "0.167049756775452" "0.190763315913864" "0.5776734314492" "0.0912916854006898" "0.0378201326449966" "0.0445189979217209" "0.0822818028224555" "0.142020239185715" "0.11333344654242" "0.0547217046272699" "0.0709616950800512" "0.108300408975816" "0.155978413091494" "0.122690788585147" "0.0635313743850504" "0.138142368547586" "0.132437430802984" "0.148755967560563" "0.134028344722801" "0.108218145101344" "0.0813030253660549" "0.0791099168763472" "0.143464566678548" "0.221493113180707" "0.316739208740967" "0.132946629343711" "0.280687758563388" "0.228639733284087" "1" "0.170650914839478" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0"
"FW26" "0.0839603589106136" "0.217120960084915" "0.0989077634826062" "0.569325239363391" "0.112853169961739" "-0.00338416923341127" "0.102412705428175" "0.00313479461400041" "0.0787746782649138" "0.122485582793947" "0.145761511009793" "0.0924692216128882" "0.13464444569547" "0.123782459190389" "0.165889070253116" "0.106384939407977" "0.0929834367795205" "0.0647122494024158" "0.0571752258866529" "0.0285016476402922" "0.0479710039364372" "0.0961258974837924" "0.0633604725043795" "0.0471304310342684" "0.222393294656936" "0.185531335262793" "0.262081574492518" "0.209378309708191" "0.208876300510413" "0.170650914839478" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
