"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.880686713800587 0.00583357984059595 150.968485538139 0 0.86925310741208 0.892120320189094
"2" "FD" "=~" "FD5" 0.709722169258245 0.00981437539259147 72.314552976442 0 0.69048634695801 0.72895799155848
"3" "FD" "=~" "FD9" 0.866124533444762 0.0061342695348326 141.194404407337 0 0.854101586085029 0.878147480804495
"4" "FD" "=~" "FD13" 0.629043840287794 0.0116350927844415 54.0643596008923 0 0.606239477473507 0.651848203102082
"5" "FD" "=~" "FD17" 0.63209530086172 0.0115696430750396 54.6339499638847 0 0.609419217120659 0.654771384602781
"6" "SD" "=~" "SD2" 0.612137947832587 0.0135930066344413 45.0333001590379 0 0.585496144387468 0.638779751277706
"7" "SD" "=~" "SD6" 0.472621768411854 0.0159523887032477 29.6270218337668 0 0.441355661086105 0.503887875737603
"8" "SD" "=~" "SD10" 0.694542203654563 0.012076135751443 57.513613456322 0 0.670873412509318 0.718210994799807
"9" "SD" "=~" "SD14" 0.560235290460382 0.0145189363140173 38.5865244080934 0 0.531778698191077 0.588691882729687
"10" "SD" "=~" "SD18" 0.487311842960547 0.0157256330481298 30.9883768411156 0 0.45649016855212 0.518133517368974
"11" "SD" "=~" "SD22" 0.588022269633621 0.0140286434800066 41.9158324517736 0 0.560526633660856 0.615517905606387
"12" "SD" "=~" "SD24" 0.565975111230575 0.0144188420785243 39.2524661930758 0 0.537714700057896 0.594235522403253
"13" "UP" "=~" "UP3" 0.608685751459669 0.0130940845248746 46.485552334977 0 0.583021817380391 0.634349685538946
"14" "UP" "=~" "UP7" 0.407226996456633 0.0164508912478482 24.7540993567688 0 0.374983842097265 0.439470150816001
"15" "UP" "=~" "UP11" 0.734480044140297 0.01057213002808 69.4732321858969 0 0.713759050045386 0.755201038235208
"16" "UP" "=~" "UP15" 0.417813717214109 0.0163045542900733 25.625583489178 0 0.385857378021587 0.449770056406631
"17" "UP" "=~" "UP19" 0.723104307070922 0.010800817396172 66.9490354801483 0 0.701935093970831 0.744273520171013
"18" "UP" "=~" "UP20" 0.565459036121026 0.0139083448346914 40.656098395735 0 0.538199181160467 0.592718891081585
"19" "UP" "=~" "UP25" 0.668546262774669 0.0119068146341063 56.1482044794469 0 0.645209334921226 0.691883190628111
"20" "UP" "=~" "UP27" 0.338436533924324 0.017313769636421 19.5472471351585 0 0.304502169000316 0.372370898848332
"21" "FW" "=~" "FW4" 0.716529178849814 0.0104227529655837 68.7466335636871 0 0.696100958417512 0.736957399282117
"22" "FW" "=~" "FW8" 0.643728020107686 0.0119894131781684 53.6913700897267 0 0.620229202082706 0.667226838132666
"23" "FW" "=~" "FW12" 0.599076113388729 0.0128973000439956 46.449730668058 0 0.573797869804691 0.624354356972767
"24" "FW" "=~" "FW16" 0.738332028605823 0.00994285966357578 74.257512786849 0 0.718844381761878 0.757819675449767
"25" "FW" "=~" "FW21" 0.618471363603995 0.0125090327620367 49.4419812762005 0 0.593954109908971 0.642988617299018
"26" "FW" "=~" "FW23" 0.734925223977164 0.0100178832543723 73.3613284679083 0 0.715290533597267 0.75455991435706
"27" "FW" "=~" "FW26" 0.565867770513734 0.0135384432820105 41.7971075940202 0 0.539332909274256 0.592402631753213
"28" "FD1" "~~" "FD1" 0.224390912135123 0.010275112705827 21.8382920518108 0 0.204252061294612 0.244529762975634
"29" "FD5" "~~" "FD5" 0.496294442463371 0.0139309598626443 35.6252869405057 0 0.468990262862515 0.523598622064227
"30" "FD9" "~~" "FD9" 0.249828292565094 0.0106260829998467 23.510854617708 0 0.229001552588661 0.270655032541527
"31" "FD13" "~~" "FD13" 0.604303846995984 0.0146379668745774 41.2833183852543 0 0.575613959114922 0.632993734877046
"32" "FD17" "~~" "FD17" 0.600455530628532 0.0146262345455247 41.0533229697357 0 0.571788637689868 0.629122423567196
"33" "SD2" "~~" "SD2" 0.625287132823309 0.0166415902020425 37.5737609947014 0 0.592670215381831 0.657904050264787
"34" "SD6" "~~" "SD6" 0.776628664023252 0.0150788921099697 51.5043584342491 0 0.747074578560946 0.806182749485557
"35" "SD10" "~~" "SD10" 0.517611127342664 0.0167747718323006 30.8565226709063 0 0.484733178702478 0.55048907598285
"36" "SD14" "~~" "SD14" 0.686136419322771 0.0162680410928907 42.1769539064307 0 0.654251644681688 0.718021193963855
"37" "SD18" "~~" "SD18" 0.762527167710395 0.015326574680529 49.7519624315744 0 0.732487633330195 0.792566702090596
"38" "SD22" "~~" "SD22" 0.654229810414925 0.0164983094231162 39.6543544939378 0 0.621893718139819 0.68656590269003
"39" "SD24" "~~" "SD24" 0.679672173467539 0.0163214111028255 41.6429786116887 0 0.647682795529129 0.711661551405949
"40" "UP3" "~~" "UP3" 0.629501655969979 0.0159403653397068 39.4910431821732 0 0.598259114003743 0.660744197936214
"41" "UP7" "~~" "UP7" 0.83416617335691 0.0133984940926305 62.2582036152647 0 0.807905607488281 0.860426739225538
"42" "UP11" "~~" "UP11" 0.460539064759667 0.015530036830344 29.6547310087395 0 0.430100751893612 0.490977377625722
"43" "UP15" "~~" "UP15" 0.825431697707729 0.0136245329458223 60.5842197299566 0 0.798728103827738 0.85213529158772
"44" "UP19" "~~" "UP19" 0.477120161095482 0.0156202352757742 30.5450047756616 0 0.446505062524922 0.507735259666041
"45" "UP20" "~~" "UP20" 0.68025607846908 0.015729198466095 43.2479811311048 0 0.649427415969851 0.711084740968309
"46" "UP25" "~~" "UP25" 0.553045894530024 0.0159205128106171 34.7379447577346 0 0.521842262805806 0.584249526254242
"47" "UP27" "~~" "UP27" 0.88546071250529 0.0117192242816786 75.5562562182197 0 0.862491454986453 0.908429970024127
"48" "FW4" "~~" "FW4" 0.486585935856811 0.0149364131683602 32.5771609537118 0 0.457311103988615 0.515860767725006
"49" "FW8" "~~" "FW8" 0.585614236128239 0.0154358422283487 37.9385994923378 0 0.555360541289633 0.615867930966845
"50" "FW12" "~~" "FW12" 0.641107810367054 0.0154529288198604 41.4877864151609 0 0.610820626424467 0.671394994309642
"51" "FW16" "~~" "FW16" 0.454865815534811 0.0146822636170274 30.9806326462693 0 0.426089107633914 0.483642523435707
"52" "FW21" "~~" "FW21" 0.617493172401815 0.0154729571248534 39.9078965590855 0 0.58716673370277 0.64781961110086
"53" "FW23" "~~" "FW23" 0.459884915162115 0.0147247900263163 31.2320185442513 0 0.431024857030621 0.48874497329361
"54" "FW26" "~~" "FW26" 0.679793666293815 0.0153219375480958 44.3673435007767 0 0.649763220526176 0.709824112061455
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.498568166948087 0.016675510187079 29.8982256827381 0 0.465884767557581 0.531251566338593
"60" "FD" "~~" "UP" 0.360583556277131 0.0181383729430672 19.8795976579008 0 0.325032998570564 0.396134113983699
"61" "FD" "~~" "FW" -0.0441598065513465 0.0199953408952451 -2.20850481033048 0.027209102859463 -0.0833499545646278 -0.00496965853806524
"62" "SD" "~~" "UP" 0.265451153781252 0.0206392516738051 12.8614718196473 0 0.224998963832736 0.305903343729768
"63" "SD" "~~" "FW" -0.0943994952859336 0.0213097422004394 -4.42987504954363 9.42877023923927e-06 -0.136165822518628 -0.052633168053239
"64" "UP" "~~" "FW" -0.0451299776038272 0.0208761854338014 -2.16179233255687 0.0306341867619595 -0.0860465491886576 -0.00421340601899684
