"datasetNO","ID","gender","age","ethnic","edu","SES","objSES","subSES","abroad","abroad_c","abroad_t","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","BFI45","BFI46","BFI47","BFI48","BFI49","BFI50","BFI51","BFI52","BFI53","BFI54","BFI55","BFI56","BFI57","BFI58","BFI59","BFI60","MLOC1","MLOC2","MLOC3","MLOC4","MLOC5","MLOC6","MLOC7","MLOC8","MLOC9","MLOC10","MLOC11","MLOC12","MLOC13","MLOC14","MLOC15","MLOC16","MLOC17","MLOC18","MLOC19","MLOC20","MLOC21","MLOC22","MLOC23","MLOC24","FD","SD","UP","FW"
9,6185,"男","2000.02","汉族","大专（含大专毕业或未毕业）",10000,4,3,"否","","",5,4,4,4,5,4,4,4,4,4,4,5,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,4,2,5,5,2,5,4,4,4,4,5,5,2,5,5,2,4,4,2,2,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,4,2,2,4,4,2,2,4,4,4,4,4,2,5,4,4,4,4,3,1,3,-2,1,1,-2,1,2,2,-2,3,-3,1,2,3,3,2,2,3,2,3,-1,3,4.6,4.14285714285714,4.25,4.71428571428571
9,697,"女","2004.03","汉族","本科（含本科在读）",14000,4,4,"否","","",3,4,2,2,2,4,4,5,4,2,4,3,4,4,5,4,3,4,4,3,2,4,5,4,2,2,4,4,5,4,2,4,4,5,5,4,5,2,1,5,1,4,2,1,3,4,1,2,2,1,4,2,2,4,1,4,2,3,4,5,2,1,2,1,4,3,2,4,2,5,4,1,4,4,2,4,5,4,5,4,1,4,4,5,1,1,3,2,-2,-2,1,2,-2,2,1,2,-1,-2,-2,1,2,-1,-2,-1,-2,1,-1,1,-1,2,-2,3.2,3.71428571428571,3.5,3.28571428571429
9,6158,"男","2000.09","汉族","本科（含本科在读）",8000,8,7,"否","","",3,4,2,4,2,4,2,4,3,3,2,4,2,4,2,5,3,4,3,4,4,4,5,3,4,4,2,5,4,2,4,2,5,4,2,5,4,2,2,4,2,5,3,2,4,2,4,4,2,2,4,2,1,4,1,4,2,2,4,4,2,4,2,1,4,1,4,4,2,4,4,2,4,2,2,4,2,2,4,5,2,1,4,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.71428571428571,2.625,4.28571428571429
9,6162,"女","2004.01","汉族","本科（含本科在读）",3000,3,2,"否","","",4,5,5,1,2,3,4,5,4,4,4,3,5,4,4,5,5,4,4,5,1,4,5,2,4,2,4,2,5,4,2,4,3,5,4,4,5,5,1,4,3,4,5,1,3,4,2,2,2,4,4,2,1,5,4,3,2,5,4,4,2,3,2,3,5,2,2,4,1,4,5,3,2,4,3,4,5,5,5,4,2,4,4,5,4,2,4,1,2,-1,-3,-1,2,-2,2,2,3,-1,2,3,-1,1,2,3,-2,-1,-3,3,1,2,-2,4,3.71428571428571,4.25,3.14285714285714
9,6286,"女","2000.08","汉族","硕士（含硕士在读）",20000,6,6,"否","","",2,4,2,4,3,4,4,4,2,4,2,4,2,4,3,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,3,3,4,4,4,4,4,2,4,4,5,4,3,2,4,4,2,2,4,2,3,2,4,3,1,2,2,4,4,4,2,2,2,2,4,2,4,4,2,4,2,2,4,2,2,3,4,4,4,4,2,3,4,3,2,4,4,2,1,1,2,1,1,-1,1,2,-1,1,1,1,-3,1,-1,1,1,1,2,2,1,2,-2,2.6,3.71428571428571,3.125,4
9,696,"女","2003.02","汉族","本科（含本科在读）",14000,3,4,"否","","",2,2,2,2,1,2,2,1,2,2,2,2,2,4,4,2,4,5,2,4,2,4,4,2,2,2,2,4,5,2,2,5,2,5,4,4,4,5,1,4,2,2,4,1,4,5,1,2,1,2,5,4,2,5,2,4,5,4,4,4,4,2,3,1,4,4,2,4,2,4,4,5,2,2,2,2,4,3,5,4,3,5,4,5,2,1,2,2,-1,2,1,1,1,-2,1,2,1,1,-1,1,-2,1,2,2,-1,1,1,3,1,2,1,2.2,3,2.5,2.14285714285714
9,6122,"男","2003.12","汉族","本科（含本科在读）",10000,4,5,"否","","",2,3,3,3,2,2,4,4,2,2,3,4,2,4,3,4,3,4,4,4,3,3,4,4,3,3,4,3,4,2,4,2,4,4,2,4,4,2,2,4,3,3,4,2,4,3,3,2,3,2,3,4,3,3,2,4,2,2,4,4,3,4,3,4,3,4,4,4,2,3,4,3,3,2,2,4,4,4,4,4,4,4,3,3,2,2,3,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,2.2,3.14285714285714,3.5,3.57142857142857
9,6298,"男","2004.02","汉族","本科（含本科在读）",25000,7,6,"否","","",4,4,3,4,2,4,4,5,4,4,4,5,2,4,4,5,4,4,4,4,4,3,5,4,4,4,3,2,4,4,4,3,4,5,4,4,5,3,2,4,4,4,5,2,4,4,3,2,3,2,4,4,3,4,4,4,2,4,4,4,5,3,4,3,4,4,4,4,3,4,3,2,2,4,2,2,3,4,4,4,4,3,4,5,4,3,4,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,2,3.2,3.85714285714286,3.75,4.57142857142857
9,6135,"男","1999.07","汉族","本科（含本科在读）",11000,4,4,"否","","",2,4,3,2,3,2,3,5,4,2,5,4,2,4,3,5,4,4,2,5,4,3,5,4,4,4,3,2,5,2,4,2,4,5,5,4,4,2,2,5,1,4,5,1,4,3,2,1,2,2,4,4,2,4,2,5,2,5,5,4,2,4,4,2,5,2,3,5,2,5,5,3,2,2,1,4,3,4,5,5,1,3,5,5,2,1,4,3,-2,-2,2,1,2,-1,2,3,2,1,1,1,2,1,3,-2,1,1,-2,2,2,2,1,3,3.28571428571429,3.5,4.14285714285714
9,635,"女","2002.06","汉族","本科（含本科在读）",23000,5,7,"否","","",3,5,5,4,1,4,5,5,2,4,2,5,1,4,2,5,4,4,5,4,4,4,5,3,3,4,5,4,5,2,4,1,4,5,2,4,5,2,1,4,2,5,3,1,4,2,4,4,2,1,4,1,2,5,2,1,1,3,4,5,2,4,2,1,4,2,5,4,1,4,5,2,2,1,1,2,1,3,4,5,1,2,4,5,2,1,4,3,2,2,2,2,-2,-3,-3,2,-2,-3,-1,-3,-2,-2,-2,-3,1,2,2,2,1,2,-3,2.2,4,3.875,4.57142857142857
