"datasetNO","ID","gender","age","ethnic","edu","SES","objSES","subSES","abroad","abroad_c","abroad_t","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","BFI45","BFI46","BFI47","BFI48","BFI49","BFI50","BFI51","BFI52","BFI53","BFI54","BFI55","BFI56","BFI57","BFI58","BFI59","BFI60","MLOC1","MLOC2","MLOC3","MLOC4","MLOC5","MLOC6","MLOC7","MLOC8","MLOC9","MLOC10","MLOC11","MLOC12","MLOC13","MLOC14","MLOC15","MLOC16","MLOC17","MLOC18","MLOC19","MLOC20","MLOC21","MLOC22","MLOC23","MLOC24","FD","SD","UP","FW"
9,698,"男","2002.12","汉族","本科（含本科在读）",12000,6,7,"否","","",1,5,4,5,1,4,5,4,1,1,4,5,1,4,5,5,4,5,5,5,4,4,5,5,4,5,5,5,4,2,5,5,5,5,1,5,5,2,2,5,2,5,5,1,5,2,2,5,4,2,5,2,1,5,1,5,1,2,5,5,2,2,4,1,5,2,5,5,2,5,5,1,5,2,1,4,4,1,5,5,2,4,5,5,2,4,5,2,-1,3,-2,2,1,3,2,2,3,1,-2,2,3,2,2,2,3,3,3,2,2,3,-2,1.6,4,4.625,4.71428571428571
9,621,"男","2002.1","汉族","本科（含本科在读）",8000,6,5,"否","","",4,5,3,4,2,4,4,5,4,3,4,5,2,4,4,5,3,4,5,5,4,5,5,3,4,5,4,5,4,2,3,2,4,5,2,4,5,2,2,4,2,4,4,2,5,4,5,4,2,2,5,2,2,4,2,4,4,3,5,5,5,5,4,2,5,2,5,5,3,4,5,2,5,2,1,4,1,3,4,5,2,2,5,5,2,2,5,3,3,3,3,2,-2,3,1,1,2,1,1,2,-1,1,-1,1,2,3,3,2,2,1,2,3,4,4.125,4.71428571428571
9,608,"男","2003.04","汉族","本科（含本科在读）",20000,5,4,"否","","",2,3,2,1,1,2,4,5,3,3,4,2,4,4,4,5,4,3,4,4,3,4,5,2,2,2,5,1,4,4,5,2,4,5,5,2,3,3,2,5,3,4,5,2,4,4,3,3,4,2,4,1,2,3,3,2,1,4,3,5,4,3,1,4,4,3,4,5,2,4,3,2,3,2,1,3,1,2,4,5,4,2,5,5,4,3,4,1,-2,-2,1,3,-1,1,2,3,1,-2,-1,-2,-1,-1,1,-2,-2,2,-1,1,2,2,-2,2.8,3,3.625,3.28571428571429
9,636,"男","200210","汉族","本科（含本科在读）",15000,5,5,"否","","",2,4,4,4,2,2,4,5,2,2,4,3,2,4,4,5,2,4,4,4,5,4,5,3,4,4,5,4,4,2,4,2,4,5,5,4,5,2,1,4,2,5,4,2,4,2,3,4,2,1,4,2,2,4,2,4,2,3,4,4,2,4,2,2,4,2,4,4,2,4,5,2,4,2,2,4,2,2,4,5,2,2,4,5,2,1,4,1,-1,-1,1,2,-2,-1,-2,1,1,-1,2,-1,-2,-1,2,-1,2,1,-1,2,1,2,-1,2,3.28571428571429,4.125,4.42857142857143
9,6322,"男","2003.04","汉族","本科（含本科在读）",30000,6,4,"否","","",4,4,3,4,2,3,4,4,3,4,4,5,2,4,4,5,4,4,3,4,4,5,3,4,4,4,2,2,4,5,5,2,4,4,4,4,5,3,2,4,4,4,4,2,4,5,4,4,4,3,4,3,4,5,3,4,2,4,4,5,4,4,4,3,4,5,4,2,4,4,4,3,2,4,2,3,2,3,4,4,3,3,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.5,4.14285714285714
9,6174,"男","2004.01","汉族","大专（含大专毕业或未毕业）",5000,7,5,"否","","",4,3,3,2,4,2,4,4,2,4,2,3,3,4,4,2,4,4,3,4,4,4,3,2,3,4,4,3,3,2,2,4,3,2,1,3,4,3,3,2,1,2,4,3,2,1,2,4,3,2,1,2,4,3,1,3,4,4,2,1,4,3,4,3,2,3,3,4,3,1,1,1,4,3,3,3,2,4,3,1,1,2,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.28571428571429,3.375,3.14285714285714
9,6192,"女","1999.04","汉族","硕士（含硕士在读）",15000,4,3,"否","","",2,3,2,3,2,2,4,4,2,2,4,3,2,4,4,4,4,4,4,4,2,4,5,3,3,3,4,1,4,2,3,1,2,4,3,4,4,3,2,4,1,2,5,2,3,3,5,2,2,3,2,2,4,3,2,4,2,5,4,2,4,5,3,2,4,4,4,3,3,4,4,2,3,3,3,2,1,4,4,3,3,2,3,3,2,1,3,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,2,1,1,-1,2.4,3.14285714285714,3.625,3.42857142857143
9,6190,"男","2000.08","汉族","本科（含本科在读）",25000,5,5,"否","","",3,4,4,2,2,4,4,5,4,3,3,4,2,4,4,4,4,4,4,4,4,4,5,2,2,4,5,4,4,2,4,2,4,4,2,5,4,4,2,5,1,4,2,1,3,5,3,4,2,2,4,3,2,4,2,4,2,2,4,5,4,4,2,3,4,2,5,4,2,4,4,2,4,2,1,4,2,3,4,5,2,4,4,4,2,1,4,2,-1,2,2,2,3,-2,2,2,2,-1,2,2,2,1,-2,-1,1,2,1,2,2,1,-1,3,3.57142857142857,3.75,4
9,609,"男","2000.09","汉族","本科（含本科在读）",2000,8,6,"否","","",1,3,2,1,1,4,5,5,2,2,5,5,1,4,5,5,4,5,5,3,4,3,4,3,4,4,4,3,4,1,4,1,4,5,2,5,5,1,2,4,2,4,3,1,4,1,3,1,1,1,3,1,2,4,1,4,1,3,4,4,5,5,4,1,4,2,5,4,1,5,5,1,3,1,1,4,1,1,4,5,2,2,5,5,1,1,5,1,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,1,-3,1,3,-3,2,2,2,-3,1.8,3.42857142857143,4.125,4
9,641,"男","2002.7","汉族","本科（含本科在读）",19000,5,6,"否","","",2,2,3,4,1,4,5,4,4,5,5,5,2,3,5,5,4,5,4,3,5,3,4,4,3,3,5,4,5,2,4,1,4,5,2,4,4,2,1,4,2,5,4,2,5,3,5,4,2,2,4,2,2,4,2,5,1,4,5,4,2,5,2,1,4,2,4,4,2,5,4,2,2,1,1,2,2,4,4,5,2,1,4,5,2,2,5,2,2,2,2,2,-2,-1,-2,2,1,-1,1,-2,-2,-3,-1,-2,1,3,2,2,-2,3,-2,2.6,3.71428571428571,4.125,4.28571428571429
9,632,"女","2003.04","汉族","本科（含本科在读）",50000,3,2,"否","","",4,4,3,2,4,2,3,4,4,4,4,2,4,4,4,4,3,5,4,4,3,3,4,4,4,2,4,4,5,4,1,3,2,5,5,1,3,3,2,4,5,3,2,1,2,5,3,2,3,5,1,3,4,4,5,5,3,4,4,3,5,3,4,3,2,4,4,2,4,3,1,3,4,2,4,1,3,4,4,3,5,3,4,3,5,5,3,1,2,1,1,-1,3,2,2,2,2,1,1,3,-1,2,2,2,-2,-1,1,1,2,1,-3,3.8,3.71428571428571,3.75,3
9,6255,"男","200209","汉族","本科（含本科在读）",10000,5,5,"否","","",2,2,4,3,2,4,3,4,2,3,4,4,2,4,2,4,4,5,4,4,5,4,5,3,4,3,3,4,3,2,3,2,4,4,3,3,4,4,2,3,3,4,3,2,3,3,3,4,2,3,4,2,2,3,3,4,2,3,3,3,3,4,3,3,4,2,3,4,4,4,4,2,3,3,2,3,2,2,4,4,2,2,4,4,3,2,3,1,2,1,2,2,-2,-1,-1,2,1,-1,-2,-1,-2,1,1,-2,-1,2,-1,1,1,2,-1,2.4,3.57142857142857,3.5,4
9,6201,"男","2001.1","汉族","本科（含本科在读）",30000,5,5,"否","","",2,4,5,4,1,5,4,5,2,2,4,4,2,4,2,4,2,5,4,5,4,4,5,4,4,5,4,4,5,2,5,2,4,5,1,4,5,2,1,4,2,5,4,2,4,1,2,4,2,2,4,2,2,4,1,4,2,2,4,5,2,4,2,1,4,2,5,4,2,4,5,1,4,2,1,4,2,4,5,4,2,1,4,5,4,2,4,1,-2,-3,2,1,-2,-1,-2,2,-2,-3,-2,-2,-3,-2,1,-3,1,2,-1,1,-2,2,-2,1.8,4,4,4.42857142857143
9,6243,"女","2002.8","汉族","本科（含本科在读）",26000,5,6,"否","","",1,3,4,5,2,4,5,5,3,2,5,4,1,4,5,4,5,5,5,4,4,3,5,4,4,5,5,4,1,2,5,1,4,5,2,5,4,2,1,4,2,5,4,1,4,2,5,2,1,2,4,1,1,4,2,4,2,4,5,4,1,4,2,1,4,2,4,4,2,4,4,1,2,1,2,1,1,4,5,4,2,1,5,4,2,1,4,3,2,2,2,2,-2,-3,-2,2,1,3,1,-2,-3,-2,2,-2,1,2,2,2,-1,2,1,2.4,3.57142857142857,4.625,4.57142857142857
9,6149,"女","199801","汉族","硕士（含硕士在读）",8000,5,4,"否","","",2,2,2,2,2,2,4,4,2,2,2,4,2,4,4,4,1,4,2,2,2,4,4,4,2,4,2,2,4,2,4,5,4,5,2,4,2,4,2,5,1,4,4,2,4,4,2,4,2,2,4,4,2,4,1,5,3,2,4,4,2,2,4,2,4,2,2,4,2,5,5,4,4,2,2,4,4,2,5,4,2,4,4,4,2,2,2,2,-2,-2,-1,2,-1,-1,-1,2,1,-1,-1,-1,-2,-1,-1,-1,-1,1,1,2,-1,2,-2,1.8,3.14285714285714,2.5,3.42857142857143
9,647,"男","200210","汉族","本科（含本科在读）",12000,5,5,"否","","",2,4,3,4,2,3,4,4,2,2,4,3,2,3,4,5,3,5,4,5,4,3,5,3,4,5,5,4,5,2,4,2,4,5,2,4,4,2,2,4,2,4,4,2,4,2,5,4,2,2,4,2,2,4,2,4,2,4,5,5,2,4,2,1,4,2,4,4,2,5,5,2,5,2,2,4,2,2,4,5,2,2,4,5,2,2,4,2,-1,-1,2,2,-2,1,-1,2,1,-1,1,-1,-2,-1,1,-1,2,1,-2,1,-1,2,-1,2.2,3.28571428571429,4.125,4.28571428571429
9,658,"女","1998.1","汉族","硕士（含硕士在读）",5000,4,4,"否","","",2,2,2,2,2,2,2,4,4,4,2,2,2,4,4,5,5,4,2,5,2,4,4,4,2,2,4,5,5,4,4,4,5,5,4,4,5,1,4,4,4,5,4,4,4,4,2,4,2,4,2,4,2,5,4,4,2,2,4,2,4,4,4,4,2,4,4,4,2,4,4,2,5,4,4,2,4,4,4,2,2,4,4,4,4,5,5,1,1,1,1,-1,1,-1,2,2,1,1,1,2,-1,1,3,-1,-1,1,1,3,2,1,-1,3,3.42857142857143,2.875,3
9,620,"女","2000.03","汉族","本科（含本科在读）",3000,2,3,"否","","",2,4,3,4,2,4,2,4,2,2,3,4,4,5,4,5,3,2,4,5,4,4,5,4,2,2,2,4,3,4,5,2,4,4,5,2,4,2,4,3,4,4,2,4,3,4,3,4,4,2,2,2,4,2,4,4,2,3,2,4,2,4,3,3,4,3,4,4,4,2,4,4,2,4,3,2,4,2,2,4,2,3,2,1,4,4,4,2,-2,-1,1,1,-2,-2,2,2,2,-2,2,2,-2,1,2,-2,-1,-1,2,2,2,2,-2,2.6,3.57142857142857,3.125,4
9,6216,"男","2001.12","汉族","本科（含本科在读）",3000,3,3,"否","","",4,3,1,4,1,2,5,4,4,3,2,5,1,4,4,5,4,5,2,4,4,4,4,4,2,3,4,4,4,2,4,3,4,4,4,4,5,2,2,4,2,4,4,1,4,4,4,4,4,4,4,2,2,4,2,4,1,3,4,4,4,5,2,2,4,4,5,4,4,5,5,3,4,5,4,2,2,1,4,4,4,4,4,4,2,2,3,2,1,1,1,1,-2,1,2,2,1,2,-1,-1,1,1,1,-1,-2,2,2,2,1,1,-1,2.8,3.57142857142857,3,4.14285714285714
9,628,"女","1999.03","汉族","本科（含本科在读）",2000,3,2,"否","","",4,4,5,2,4,4,4,5,4,4,4,2,4,5,4,4,4,4,4,4,2,4,4,4,2,2,2,2,4,5,2,4,2,2,5,2,2,4,4,2,4,2,2,5,2,4,2,2,4,3,2,4,3,3,4,2,4,4,2,2,3,2,4,4,2,4,4,2,5,2,2,4,2,4,4,2,4,4,2,2,4,3,2,2,4,5,4,3,2,3,2,2,3,3,2,3,1,2,-1,2,3,-1,2,2,2,3,2,1,2,2,-2,4,4.14285714285714,3.625,3
9,655,"男","2002.08","汉族","本科（含本科在读）",12000,6,4,"否","","",2,3,2,4,1,2,4,3,2,1,4,3,3,2,4,4,2,5,4,4,4,2,4,2,2,3,4,4,4,2,4,2,4,4,2,4,3,2,1,4,1,3,3,2,4,2,3,2,1,1,4,3,1,4,2,4,2,2,4,4,2,3,2,2,4,2,4,4,2,4,4,1,4,1,1,4,2,2,4,4,2,1,4,4,2,1,3,2,-1,2,-1,1,-2,-2,-2,2,1,-2,1,-2,-2,-2,-1,-2,1,2,1,2,-2,2,-1,2,2.42857142857143,3.5,3.57142857142857
9,699,"男","2002.02","汉族","本科（含本科在读）",8000,6,6,"否","","",3,3,4,3,2,3,2,4,3,3,4,3,2,3,2,4,3,3,4,3,4,3,4,3,3,4,3,5,5,2,3,3,3,4,2,3,4,3,2,4,3,3,3,2,3,4,3,2,3,2,4,3,2,4,2,3,4,3,4,5,3,4,3,2,4,1,4,3,4,4,3,4,4,2,2,4,3,4,3,3,2,3,3,3,1,3,3,2,-1,2,1,2,-2,-2,1,2,-1,2,1,1,-2,1,1,1,1,2,-1,1,2,-1,-3,2.6,3,3.125,3.71428571428571
9,6304,"女","200205","汉族","本科（含本科在读）",40000,6,5,"否","","",2,4,1,3,1,2,5,4,2,2,4,4,2,4,5,5,2,4,4,5,5,3,5,3,2,4,5,4,5,2,5,3,4,5,2,4,2,2,1,4,2,4,2,1,5,2,2,2,2,1,4,3,2,5,1,4,2,2,5,4,2,3,2,1,4,2,4,5,2,5,5,2,4,2,1,5,4,3,5,5,2,2,5,5,1,1,4,3,-2,-3,-2,1,-1,-2,-2,2,1,-3,-2,-2,-2,-3,1,-2,3,2,1,2,-1,3,-2,1.8,3.14285714285714,3.875,4.28571428571429
9,6183,"男","2001.07","汉族","本科（含本科在读）",35000,5,6,"否","","",2,3,4,4,2,4,5,4,2,4,2,4,2,4,2,4,2,4,5,4,3,2,4,5,4,5,4,4,5,2,4,1,4,5,2,5,4,2,2,4,1,5,4,2,5,1,4,4,2,1,5,2,2,5,2,5,1,4,5,4,2,5,2,1,5,2,5,4,2,5,4,2,4,2,1,4,2,3,5,5,2,1,4,5,2,1,4,3,-1,3,2,3,-2,-2,-1,1,-2,-3,-2,-1,-2,-2,-3,-1,3,1,-2,2,-2,3,-3,2,3.71428571428571,3.75,4
9,649,"女","2002.02","汉族","本科（含本科在读）",15000,4,4,"否","","",2,3,3,4,1,2,4,5,2,2,3,4,1,4,4,3,4,5,2,4,5,3,5,4,1,4,3,5,4,1,4,1,5,5,2,4,5,1,1,4,1,4,1,1,4,4,4,2,1,1,4,1,1,4,1,5,2,2,4,5,4,5,2,1,4,4,5,4,1,4,5,1,5,1,1,2,1,1,5,4,4,1,4,5,1,1,4,2,-1,-1,1,2,3,-3,1,1,1,-1,-3,-1,-3,-1,-2,-1,1,3,1,3,1,3,-3,2,3.28571428571429,3,4.28571428571429
9,6308,"女","1998.11","汉族","硕士（含硕士在读）",10000,4,3,"否","","",2,4,4,2,1,2,4,4,2,2,4,2,2,4,3,4,4,4,4,5,3,4,4,3,2,2,3,3,4,3,2,5,2,4,4,3,3,4,3,4,2,2,2,2,3,4,3,3,3,3,2,3,3,3,4,2,4,4,3,3,4,2,2,3,3,4,2,3,2,3,3,4,4,4,2,2,4,2,4,3,3,4,3,3,4,3,2,-1,-1,-1,-2,-1,-1,-3,1,1,1,-1,-1,1,-1,1,1,2,-2,1,-1,3,-1,1,-2,2.2,3.28571428571429,3.625,3
9,6291,"男","2003.1","汉族","本科（含本科在读）",10000,4,4,"是","美国","3",3,4,3,4,2,2,2,4,3,3,5,4,1,3,5,5,4,4,5,4,4,2,4,2,4,3,4,4,5,2,4,2,4,5,1,4,4,2,1,4,2,4,4,1,5,2,3,3,2,2,4,2,1,4,2,5,1,3,5,5,2,3,2,2,4,3,5,4,1,5,4,2,4,2,1,3,1,2,5,4,2,2,4,4,1,2,4,2,1,2,2,1,-1,1,1,2,2,3,2,1,3,2,1,1,1,2,1,2,2,2,3,2.6,2.85714285714286,4,4
9,6250,"女","1999.12","汉族","硕士（含硕士在读）",6000,4,3,"否","","",2,2,2,4,2,1,4,2,2,1,4,2,2,3,4,4,2,2,4,4,2,3,4,4,4,2,5,2,4,2,2,4,2,4,5,2,2,4,2,4,2,2,4,2,4,4,2,3,2,4,2,4,4,3,4,4,4,4,4,2,2,2,5,2,3,4,2,2,4,3,4,3,2,2,4,2,4,4,4,2,3,4,2,4,2,2,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-2,1,-1,1,1,-1,-1,1,-1,2,1,-1,-3,2,2.28571428571429,3.875,2.85714285714286
9,6284,"男","2002.06","汉族","本科（含本科在读）",20000,3,7,"否","","",1,4,2,4,1,4,1,4,2,4,1,5,1,4,1,5,4,5,2,4,4,5,5,4,2,4,1,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,5,1,5,1,5,5,1,1,4,1,1,5,1,5,1,3,5,5,1,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,4,1,1,5,3,-3,1,-3,2,-3,-3,2,3,3,1,-3,-2,-3,2,1,2,2,3,-3,3,2,3,-3,1.8,4.28571428571429,1.75,4.42857142857143
9,6282,"女","2000.12","汉族","硕士（含硕士在读）",7000,4,4,"否","","",2,4,3,4,1,2,4,4,2,2,4,4,1,5,4,4,3,4,4,3,4,2,5,4,4,5,4,2,5,4,3,2,4,4,4,5,3,2,2,4,3,3,4,2,2,4,4,1,3,2,5,4,2,4,1,2,2,5,4,5,3,4,3,3,4,3,3,4,3,4,3,2,3,4,2,4,2,4,4,4,2,3,4,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.28571428571429,3.75,4.28571428571429
9,670,"男","1999.12","汉族","硕士（含硕士在读）",16000,4,3,"否","","",1,4,4,2,2,1,2,4,4,3,2,4,3,4,2,5,3,4,2,5,3,5,5,5,3,3,1,2,5,2,4,2,3,5,3,4,4,2,3,5,1,4,5,1,5,3,4,4,2,2,5,3,2,5,1,5,2,4,4,4,4,3,2,1,5,2,3,4,3,5,5,2,2,2,2,2,3,3,5,5,3,3,4,3,1,1,3,1,-1,2,2,2,-1,-2,-2,2,2,2,1,2,-1,-1,1,1,1,1,-1,3,1,2,-1,2.6,3.71428571428571,2.625,3.71428571428571
9,6107,"男","2001.05","汉族","本科（含本科在读）",25000,7,7,"否","","",1,2,3,5,1,5,5,5,2,2,5,5,3,4,5,5,1,5,4,4,5,5,5,2,1,5,5,5,5,1,5,1,5,5,1,4,5,1,1,5,1,4,1,1,5,1,3,2,1,1,5,1,1,5,1,5,1,1,5,5,2,4,1,1,5,1,4,5,1,5,5,1,1,1,1,5,1,3,5,5,1,1,5,5,1,1,5,3,-3,-1,3,3,-2,-3,-1,3,2,-3,-3,-2,-2,-1,-1,-3,3,3,-3,3,1,2,-3,1.6,3.57142857142857,4,5
9,663,"男","2001.06","汉族","本科（含本科在读）",20000,7,5,"否","","",1,2,2,5,1,4,5,5,1,1,5,4,4,5,4,5,2,4,2,3,5,4,5,2,2,5,5,5,4,1,5,1,5,5,1,5,5,2,1,5,1,5,2,1,5,1,4,2,1,1,5,1,1,5,1,4,1,1,5,5,1,4,2,1,4,1,5,5,1,5,4,1,2,1,1,4,1,4,5,5,1,1,5,5,1,1,5,3,-2,-1,3,3,-3,-2,1,3,1,-3,-3,-2,-2,-1,1,-2,3,3,-3,3,2,3,-3,1.8,3.14285714285714,3.5,4.85714285714286
