"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.44400376809101" "0.335686457211926" "0.121996699644907" "0.777338990524546" "0.677255965826811" "0.801945410984537" "0.592015596192848" "0.549622130172645" "0.271281280021676" "0.195211154502567" "0.378703602641608" "0.150345430106457" "0.2146159160669" "0.25065192416702" "0.274542211533954" "0.186495763219132" "0.115027506250291" "0.208432617122207" "0.15194605398454" "0.185223240961996" "0.349100779132556" "0.414957438116519" "0.0869909266692782" "0.132182345510996" "0.098138281797397" "0.0401820322614886" "0.0652677221348881" "0.0542606763401018" "0.0408822444252079" "0.0637022586487452" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.44400376809101" "1" "0.222492123539791" "0.127618123284419" "0.36219462959548" "0.26889705959806" "0.374419655374028" "0.27109963308997" "0.231316928603044" "0.616460659409975" "0.40840619640776" "0.666113155229109" "0.531629201669864" "0.465702161621319" "0.620406140765232" "0.630822872057114" "0.233079111667138" "0.0421443956688515" "0.126524781685862" "0.071861354789657" "0.0638968214233563" "0.282367615632367" "0.297458173292557" "0.0137152092188029" "0.15850865416274" "0.0842711426949174" "0.0277635085167264" "0.0487274800801158" "0.0142551455348645" "0.100458491270695" "0.0930782512620541" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.335686457211926" "0.222492123539791" "1" "0.0946430843039291" "0.16090418950883" "0.188458814129283" "0.184426818741686" "0.371940941581646" "0.240511733300042" "0.175628457877015" "-0.0306175099854491" "0.147263564826562" "0.0279800981163924" "0.11063793290427" "0.216825770621746" "0.224318089658563" "0.521136558457421" "0.695856709064459" "0.730183167980933" "0.681813505227104" "0.668887446571313" "0.506954468862905" "0.595291344384465" "0.701595110900168" "0.0363744193922641" "0.150692117326518" "-0.0192680674501683" "0.138578009877855" "0.0710319171393588" "0.0763196865983076" "-0.0599610634356441" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "0.121996699644907" "0.127618123284419" "0.0946430843039291" "1" "0.115254034188356" "0.0014386496310975" "0.160957850795306" "0.0313841188595669" "0.10467861448522" "0.0678904780254312" "0.191542841116987" "-0.000242283945633767" "0.0225040071871838" "0.158679449498941" "0.0418453852927381" "0.0186641446476513" "0.0285809516668678" "0.114935649899783" "0.050156110522059" "0.0453667941931103" "0.138119656455866" "0.0439272016183874" "0.0205401816546242" "0.0413951937538612" "0.52439411851741" "0.612300122083028" "0.549588180734796" "0.584915060832377" "0.61046015708904" "0.564682914495525" "0.575312417617407" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.777338990524546" "0.36219462959548" "0.16090418950883" "0.115254034188356" "1" "0.43117953200013" "0.701869971631031" "0.238878061219847" "0.255395836523101" "0.236424130467457" "0.193539889174662" "0.334873424652622" "0.0851922459609082" "0.13501833645168" "0.210506495315226" "0.216300623360444" "0.101724850022958" "-0.0114419056008556" "0.0652387573933512" "0.0611545517207115" "0.0833353797920982" "0.227849941019075" "0.295841740830017" "-0.0147637801821956" "0.164094477870773" "0.0826154833715144" "0.0166456689996446" "0.047880728793452" "0.0465566041303935" "0.0224925584141458" "0.0879578549731134" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.677255965826811" "0.26889705959806" "0.188458814129283" "0.0014386496310975" "0.43117953200013" "1" "0.432674830887421" "0.306629070306376" "0.129035542946549" "0.148230296646661" "0.141523964757422" "0.258840230658642" "0.0689779571665285" "0.0941413889310762" "0.164138259862708" "0.171708259862466" "0.0899075819846308" "0.0884971362026719" "0.14150288589842" "0.057146341760719" "0.0818344450544158" "0.166754904417055" "0.241550702543891" "0.0795636099803886" "0.0640061619917063" "0.0409067188479412" "-0.127409216457841" "0.0222718630387286" "-0.0345633885057722" "0.0340846881032137" "0.0270826745909482" "1" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.801945410984537" "0.374419655374028" "0.184426818741686" "0.160957850795306" "0.701869971631031" "0.432674830887421" "1" "0.275379605328553" "0.303885959768007" "0.240249359960628" "0.188195932661643" "0.316173515627246" "0.110634984588435" "0.195568198958088" "0.204959454799143" "0.205686563495049" "0.097555397842483" "-0.0151117621852742" "0.0711294024822441" "0.0590164821800173" "0.0863078858003087" "0.284815570258904" "0.344080799667596" "-0.00189531718445771" "0.144831941430808" "0.111020112817425" "0.0728385354918043" "0.0856225700005101" "0.0862813192164258" "0.0437033799022803" "0.10248426937475" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.592015596192848" "0.27109963308997" "0.371940941581646" "0.0313841188595669" "0.238878061219847" "0.306629070306376" "0.275379605328553" "1" "0.199351080527054" "0.18801707416689" "0.0747771817350879" "0.203275212442194" "0.108722531257992" "0.141699356355058" "0.159523442823309" "0.187986047562045" "0.165694036869631" "0.234573636651623" "0.285010814746169" "0.24110134242298" "0.255391841861224" "0.214250775140378" "0.310449485139183" "0.18204083223053" "0.03532340516679" "0.00947766050113202" "-0.0146368975487596" "0.0582251709664534" "0.0245021684833188" "0.0593786827440928" "-0.0376246470398792" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.549622130172645" "0.231316928603044" "0.240511733300042" "0.10467861448522" "0.255395836523101" "0.129035542946549" "0.303885959768007" "0.199351080527054" "1" "0.107300487138306" "0.0627946627952148" "0.171823718654511" "0.139497697985183" "0.164210239103378" "0.111750085535029" "0.151583643708019" "0.182586904180408" "0.0998216038057067" "0.1505586820333" "0.101271400897744" "0.126079085350986" "0.295700968644949" "0.218678505099688" "0.0543354167171525" "0.038074361756791" "0.0893188298416758" "0.192171075049258" "0.00679292024948332" "0.0614618263829374" "-0.0214732858983197" "0.0345481395474148" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.271281280021676" "0.616460659409975" "0.175628457877015" "0.0678904780254312" "0.236424130467457" "0.148230296646661" "0.240249359960628" "0.18801707416689" "0.107300487138306" "1" "0.137870682824359" "0.386281174049875" "0.199828473992014" "0.153257005794534" "0.294815422488775" "0.265779049122999" "0.15480240879734" "0.0743052750032106" "0.119968428084678" "0.0864287551074983" "0.0912793336371853" "0.161000619900862" "0.165393386362487" "0.0427573206183425" "0.0721530815444694" "0.0639437686794244" "0.0189233510130625" "0.061838177202024" "0.0225801981622894" "-0.00252240768493488" "0.0368320563871124" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
