"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"52" "FW21" "~~" "FW21" 0.693297000114383 0.0270209144400355 25.6577919171811 0 0.640336980982575 0.746257019246191
"53" "FW23" "~~" "FW23" 0.759429685539155 0.0255183188822215 29.7601769553968 0 0.709414699583993 0.809444671494318
"54" "FW26" "~~" "FW26" 0.700607363902285 0.0268887770270056 26.0557541608766 0 0.647906329341026 0.753308398463544
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.68422381163568 0.0251898314805431 27.162699050376 0 0.634852649157182 0.733594974114177
"60" "FD" "~~" "UP" 0.11914959881636 0.0349254507101612 3.41154076450314 0.000645968416907339 0.0506969732806154 0.187602224352105
"61" "FD" "~~" "FW" -0.124730593163177 0.0360750030721515 -3.45753520557464 0.000545141009313355 -0.195436299926766 -0.0540248863995883
"62" "SD" "~~" "UP" 0.17463165653739 0.0362991942757087 4.81089622020215 1.50255023889656e-06 0.103486543089179 0.245776769985602
"63" "SD" "~~" "FW" 0.191397630393376 0.0373877749705699 5.11925704442256 3.06741648747888e-07 0.11811893798897 0.264676322797781
"64" "UP" "~~" "FW" 0.387363052773693 0.0321784176035431 12.0379770548767 0 0.324294513191259 0.450431592356127
