"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.761519547429808 0.00941773959900487 80.8601192912867 0 0.743061116999982 0.779977977859635
"2" "FD" "=~" "FD5" 0.618770030252158 0.0120195698260356 51.480214284528 0 0.595212106283464 0.642327954220852
"3" "FD" "=~" "FD9" 0.793456082376662 0.00888889986965994 89.2636989966473 0 0.776034158769946 0.810878005983379
"4" "FD" "=~" "FD13" 0.529109243489557 0.013566112739244 39.0022738023509 0 0.502520151110428 0.555698335868685
"5" "FD" "=~" "FD17" 0.388540299476159 0.0155682790351065 24.9571772576788 0 0.35802703326608 0.419053565686238
"6" "SD" "=~" "SD2" 0.565648064855077 0.0140424357742924 40.2813353713616 0 0.538125396482247 0.593170733227907
"7" "SD" "=~" "SD6" 0.418983483492928 0.01608217141353 26.0526686800786 0 0.38746300672921 0.450503960256647
"8" "SD" "=~" "SD10" 0.652010838635577 0.0127359994845506 51.1943204321341 0 0.627048738338737 0.676972938932417
"9" "SD" "=~" "SD14" 0.421988386739976 0.0160450159622743 26.3002783999825 0 0.390540733322548 0.453436040157404
"10" "SD" "=~" "SD18" 0.397219905686421 0.0163444168557906 24.3030943955453 0 0.365185437300762 0.42925437407208
"11" "SD" "=~" "SD22" 0.43622071384386 0.0158659913953548 27.4940722564349 0 0.405123942129942 0.467317485557778
"12" "SD" "=~" "SD24" 0.477998125026172 0.0153128427911909 31.2155052816942 0 0.447985504654514 0.50801074539783
"13" "UP" "=~" "UP3" 0.487568285207454 0.0144635810153073 33.7100670084015 0 0.459220187329974 0.515916383084933
"14" "UP" "=~" "UP7" 0.652964175038058 0.0116868327852255 55.8717821190645 0 0.630058403685674 0.675869946390442
"15" "UP" "=~" "UP11" 0.674414253539739 0.0112955982870884 59.7059346834807 0 0.652275287713213 0.696553219366264
"16" "UP" "=~" "UP15" 0.444567979923843 0.0150788651791774 29.4828539575879 0 0.41501394724492 0.474122012602766
"17" "UP" "=~" "UP19" 0.621281086649884 0.0122577443152664 50.6847810388823 0 0.597256349260261 0.645305824039506
"18" "UP" "=~" "UP20" 0.430961469933835 0.0152627949447766 28.236078090096 0 0.401046941538653 0.460875998329017
"19" "UP" "=~" "UP25" 0.51487573634627 0.0140469962166327 36.6537961857367 0 0.487344129670699 0.54240734302184
"20" "UP" "=~" "UP27" 0.65442446464596 0.0116602817955634 56.124240916284 0 0.631570732277068 0.677278197014852
"21" "FW" "=~" "FW4" 0.570304709559585 0.0152265985347919 37.454504908399 0 0.540461124824342 0.600148294294827
"22" "FW" "=~" "FW8" 0.477989408923126 0.0163521825558271 29.2309242079 0 0.445939720045081 0.510039097801172
"23" "FW" "=~" "FW12" 0.299408664994937 0.0182203465182578 16.4326548177837 0 0.263697442033312 0.335119887956562
"24" "FW" "=~" "FW16" 0.523558838573163 0.0157970943646456 33.142730333048 0 0.492597102558077 0.554520574588249
"25" "FW" "=~" "FW21" 0.544157069285443 0.0155444216119013 35.0065819669238 0 0.513690562765611 0.574623575805276
"26" "FW" "=~" "FW23" 0.478146987085712 0.0163502891542156 29.2439468547521 0 0.446101009206634 0.51019296496479
"27" "FW" "=~" "FW26" 0.405884517680254 0.0171826030703185 23.621829359568 0 0.372207234501782 0.439561800858725
"28" "FD1" "~~" "FD1" 0.4200879788823 0.0143435855165961 29.2875152029624 0 0.391975067860601 0.448200889903999
"29" "FD5" "~~" "FD5" 0.617123649661743 0.0148746992212842 41.4881430865305 0 0.58796977490716 0.646277524416326
"30" "FD9" "~~" "FD9" 0.370427445339479 0.0141059034323071 26.260455214168 0 0.342780382642757 0.398074508036201
"31" "FD13" "~~" "FD13" 0.720043408453909 0.0143559114381429 50.1565791594946 0 0.691906339069902 0.748180477837916
"32" "FD17" "~~" "FD17" 0.849036435682977 0.0120978076879213 70.1810160638174 0 0.825325168322759 0.872747703043194
"33" "SD2" "~~" "SD2" 0.680042266725706 0.015886153375975 42.8072328543768 0 0.648905978255916 0.711178555195497
"34" "SD6" "~~" "SD6" 0.824452840560131 0.0134763285148651 61.177852680774 0 0.798039722027165 0.850865959093097
"35" "SD10" "~~" "SD10" 0.574881866301731 0.0166080191089843 34.6147160916223 0 0.542330746993569 0.607432985609894
"36" "SD14" "~~" "SD14" 0.821925801456592 0.013541621024093 60.6962637629746 0 0.79538471195708 0.848466890956105
"37" "SD18" "~~" "SD18" 0.842216346526471 0.0129846558510041 64.8624311795943 0 0.816766888706856 0.867665804346086
"38" "SD22" "~~" "SD22" 0.809711488813553 0.0138421485635178 58.4960842674104 0 0.782581376160406 0.836841601466701
"39" "SD24" "~~" "SD24" 0.771517792471464 0.0146390206571277 52.702828320405 0 0.742825839214556 0.800209745728372
"40" "UP3" "~~" "UP3" 0.762277167259863 0.0141039669039259 54.0470048215783 0 0.734633900089023 0.789920434430702
"41" "UP7" "~~" "UP7" 0.573637786116868 0.0152621660974902 37.585607603314 0 0.543724490239719 0.603551081994017
"42" "UP11" "~~" "UP11" 0.545165414622437 0.0152358252505095 35.7818106770557 0 0.515303745856693 0.575027083388182
"43" "UP15" "~~" "UP15" 0.802359311226434 0.0134071614061851 59.8455770701977 0 0.776081757735395 0.828636864717472
"44" "UP19" "~~" "UP19" 0.61400981137114 0.015231009481493 40.3131395930922 0 0.584157581339225 0.643862041403054
"45" "UP20" "~~" "UP20" 0.814272211432468 0.0131553531552414 61.8966440371113 0 0.78848819304429 0.840056229820647
"46" "UP25" "~~" "UP25" 0.734902976121887 0.0144649153150421 50.8058955144838 0 0.706552263064982 0.763253689178791
"47" "UP27" "~~" "UP27" 0.571728620072849 0.0152615474296364 37.462034745088 0 0.541816536762411 0.601640703383286
"48" "FW4" "~~" "FW4" 0.674752538254158 0.0173676017675323 38.8512212155606 0 0.64071266429196 0.708792412216355
"49" "FW8" "~~" "FW8" 0.77152612495732 0.0156323403065324 49.3544862655604 0 0.740887300962443 0.802164948952198
"50" "FW12" "~~" "FW12" 0.91035445132595 0.0109106594946398 83.4371608584425 0 0.888969951668876 0.931738950983024
"51" "FW16" "~~" "FW16" 0.725886142551921 0.0165414171641289 43.8829475944811 0 0.693465560656975 0.758306724446866
"52" "FW21" "~~" "FW21" 0.703893083946677 0.0169172136973262 41.6080979137793 0 0.67073595438115 0.737050213512205
"53" "FW23" "~~" "FW23" 0.771375458740856 0.0156356833370685 49.3342978437092 0 0.740730082526529 0.802020834955183
"54" "FW26" "~~" "FW26" 0.835257758307468 0.0139483050482252 59.8823839469836 0 0.807919582767568 0.862595933847367
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.722757460274588 0.0139247008584845 51.9047028456775 0 0.695465548096464 0.750049372452711
"60" "FD" "~~" "UP" 0.316875450824874 0.0187063346867757 16.9394729716286 0 0.280211708556042 0.353539193093707
"61" "FD" "~~" "FW" 0.0449454927442729 0.0219670034780126 2.04604568799109 0.0407518757923806 0.00189095707910208 0.0880000284094436
"62" "SD" "~~" "UP" 0.294031229214809 0.0204647326741947 14.367704376885 0 0.253921090220147 0.33414136820947
"63" "SD" "~~" "FW" 0.282158896014274 0.0224393198705751 12.5743069594668 0 0.238178637230372 0.326139154798175
"64" "UP" "~~" "FW" 0.395310475492135 0.0196875474777935 20.0792138247806 0 0.356723591491738 0.433897359492533
