"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.451852882093281" "0.184821864032028" "-0.0895495556881794" "0.774560606517926" "0.692810745515304" "0.811492071062952" "0.682194008422342" "0.57786695187061" "0.432480637685721" "0.101527660193001" "0.472561394232983" "0.212253379857869" "0.0652491699639802" "0.216186860167651" "0.326554071793453" "0.184216283890458" "0.0260098662976621" "0.103314106664421" "0.0554751598849742" "0.118791595736977" "0.216912506156729" "0.21813805129842" "0.00799626757017696" "-0.110204366721655" "0.0780910860949618" "-0.162369871572744" "0.0359320811045503" "-0.0835439696840622" "-0.0217260549191547" "-0.126472491119312" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.451852882093281" "1" "0.196198479049859" "0.21629698804748" "0.351341804509143" "0.297178453248719" "0.391447457499741" "0.30918832791677" "0.245692945309199" "0.626324286633027" "0.473642653639468" "0.642872940421909" "0.561288821220269" "0.459944322290091" "0.636288327171333" "0.65671975913573" "0.123735646618822" "0.0474430595897244" "0.107300814150934" "0.0537385323627377" "0.170599016347805" "0.247606554249094" "0.20895251457275" "0.0296892810264112" "0.0918423027194548" "0.217787201139795" "0.112832341354627" "0.190342589830498" "0.115249143358189" "0.18301659469065" "0.0616682396242722" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.184821864032028" "0.196198479049859" "1" "0.269293697434997" "0.0650784150155767" "0.086910893136085" "0.154941127833274" "0.143903434506692" "0.202756525272219" "0.108275871095617" "-0.0511995688393694" "0.10448617318417" "0.186996646918697" "0.18915996414324" "0.151650940850454" "0.123098077537075" "0.419706939239806" "0.627016821808526" "0.679129538564174" "0.691906249689311" "0.728235179490491" "0.387835536965732" "0.519837267424774" "0.707254899957241" "0.0660175856901006" "0.254266572874952" "0.168875011835727" "0.232408635666928" "0.167549890346136" "0.190005430833747" "0.118198008719201" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.0895495556881794" "0.21629698804748" "0.269293697434997" "1" "-0.0897788663440805" "-0.199667651203191" "0.00207526392383333" "-0.106921053040044" "0.0461136578667423" "0.00141763051071815" "0.274250184071702" "0.0456205563127577" "0.0755199283765119" "0.203083573565037" "0.197325531028836" "0.0757554999738527" "-0.0167429488097249" "0.190349605877481" "0.214186963045822" "0.24152044333505" "0.218309499672933" "0.0838183653850958" "0.0903871673286736" "0.245286091154337" "0.599634038747533" "0.678514993409556" "0.698383514231776" "0.606243637121217" "0.650526587282378" "0.534514242357647" "0.644959001267052" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.774560606517926" "0.351341804509143" "0.0650784150155767" "-0.0897788663440805" "1" "0.437397831128267" "0.621353576802785" "0.376354481770097" "0.252268113606012" "0.395376257634314" "0.078728327117701" "0.367443882784961" "0.136543109811483" "0.0292935087649366" "0.148080380943772" "0.26217685175464" "0.154261317411065" "-0.0311557971955946" "-0.0087488521959256" "-0.0171670333926384" "0.0289330494004905" "0.148294933320471" "0.129867618094195" "-0.05075245558283" "-0.0483768997411661" "0.0167966788678015" "-0.140833568624309" "0.00552643460976558" "-0.0761125208151118" "-0.0286978418269896" "-0.117433415300416" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.692810745515304" "0.297178453248719" "0.086910893136085" "-0.199667651203191" "0.437397831128267" "1" "0.420037836926731" "0.51028907389053" "0.183674422140135" "0.318616139778877" "0.0701872514723149" "0.368557092649285" "0.104047801914532" "-0.0313590763221748" "0.137317903440325" "0.227185349367978" "0.173410412736452" "0.0210479967229893" "0.0115564861724211" "0.00954764225705193" "0.0313641182738416" "0.0517193873493887" "0.137763916704457" "-0.000781790279939689" "-0.118825931917977" "-0.054014796681894" "-0.227895763064512" "-0.103712187090992" "-0.138205383576481" "-0.0974407188085917" "-0.137855617263641" "1" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.811492071062952" "0.391447457499741" "0.154941127833274" "0.00207526392383333" "0.621353576802785" "0.420037836926731" "1" "0.40626874471173" "0.358863863313477" "0.374796803196111" "0.0966700748643055" "0.388552829199996" "0.175541502479871" "0.0971445156622683" "0.176792208265459" "0.274622122040677" "0.121719034066033" "0.033604009117877" "0.100710510937251" "0.0343403328867962" "0.077106850517574" "0.232663525660916" "0.178509661169787" "0.00794145335492462" "-0.0401898766247741" "0.130592370113339" "-0.0670120334804115" "0.053058988562437" "-0.0285035193175762" "0.0243221295144726" "-0.0614841478041977" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.682194008422342" "0.30918832791677" "0.143903434506692" "-0.106921053040044" "0.376354481770097" "0.51028907389053" "0.40626874471173" "1" "0.212574090155328" "0.25606993759744" "0.0901457169804472" "0.369387567527687" "0.148216439852798" "-0.0164845973882609" "0.156000108655948" "0.242180541532385" "0.122924410338991" "0.0381630696202279" "0.0792626615725467" "0.0794754497603954" "0.0931627101999627" "0.0541874133240014" "0.181069362245401" "0.0562906268209363" "-0.0718536625379848" "0.0242686396987084" "-0.167373016083962" "0.00172949615041356" "-0.0777001864294671" "-0.0680202800354049" "-0.115836093567374" "1" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.57786695187061" "0.245692945309199" "0.202756525272219" "0.0461136578667423" "0.252268113606012" "0.183674422140135" "0.358863863313477" "0.212574090155328" "1" "0.178853342801079" "0.0250810049639447" "0.190115330784922" "0.18182990886437" "0.130786378754999" "0.146918471560344" "0.150869161324577" "0.087742127001948" "0.0350497840696271" "0.17799910846215" "0.0947560483115255" "0.188202336913262" "0.250780861459749" "0.148616266567943" "0.0237508574184969" "-0.122364654861637" "0.135781586287961" "-0.000251310618673394" "0.147445873269029" "0.00766921347715785" "0.0712015845263593" "-0.028417053880751" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.432480637685721" "0.626324286633027" "0.108275871095617" "0.00141763051071815" "0.395376257634314" "0.318616139778877" "0.374796803196111" "0.25606993759744" "0.178853342801079" "1" "0.132348331195207" "0.472375684044001" "0.234800250949106" "0.1653664690294" "0.257119751423263" "0.273774460699831" "0.132320085030608" "0.0539023113133443" "0.0141609376677598" "-0.0186308716592914" "0.0801814837167149" "0.14136995402086" "0.136731098708649" "0.0123785662170509" "-0.00486619267792034" "0.069634233267408" "-0.0903447636715303" "0.0674731160996282" "-0.00172961863389538" "0.0412865551862582" "-0.0599727347537954" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD6" "0.101527660193001" "0.473642653639468" "-0.0511995688393694" "0.274250184071702" "0.078728327117701" "0.0701872514723149" "0.0966700748643055" "0.0901457169804472" "0.0250810049639447" "0.132348331195207" "1" "0.157507065912856" "0.0865233209820367" "0.200919076949093" "0.145245962376613" "0.156200981303076" "0.0334466024666013" "-0.0697874082075253" "-0.0372916097561306" "-0.0908092218789342" "-0.029087978875733" "-0.018087701901779" "0.0666963122917213" "-0.0801685717318308" "0.242923247963001" "0.136386661675335" "0.241540044275904" "0.0760229999227391" "0.253780119201265" "0.0648194852621266" "0.168488385013582" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.472561394232983" "0.642872940421909" "0.10448617318417" "0.0456205563127577" "0.367443882784961" "0.368557092649285" "0.388552829199996" "0.369387567527687" "0.190115330784922" "0.472375684044001" "0.157507065912856" "1" "0.205294864819438" "0.117982259354422" "0.274558863704482" "0.363279087024247" "0.152962101527398" "-0.00116423624980119" "0.0110050292777986" "0.0366055861728111" "0.0510428999912355" "0.139353053862427" "0.144625284375244" "0.000568213270932205" "0.033757341809068" "0.106092097459192" "-0.0376875198693052" "0.0688401066249894" "0.0143470583372066" "0.0319074115074812" "-0.0134773348801054" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.212253379857869" "0.561288821220269" "0.186996646918697" "0.0755199283765119" "0.136543109811483" "0.104047801914532" "0.175541502479871" "0.148216439852798" "0.18182990886437" "0.234800250949106" "0.0865233209820367" "0.205294864819438" "1" "0.160034950563694" "0.33882301527771" "0.301894251167534" "0.05992190301077" "0.0399457899340866" "0.124190512520866" "0.103047697179344" "0.16909275414198" "0.247984304176946" "0.118737058100903" "0.0671726638194673" "-0.0298450613824533" "0.11874657230156" "0.00175419270033606" "0.153452256081168" "-0.0163416660986443" "0.153207057106542" "-0.0131496323238471" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" "0.0652491699639802" "0.459944322290091" "0.18915996414324" "0.203083573565037" "0.0292935087649366" "-0.0313590763221748" "0.0971445156622683" "-0.0164845973882609" "0.130786378754999" "0.1653664690294" "0.200919076949093" "0.117982259354422" "0.160034950563694" "1" "0.129457382592584" "0.131535796643841" "0.0414440088681553" "0.0903713671450588" "0.145677063030951" "0.0614953336506521" "0.187807496191481" "0.19310046638008" "0.137470058501212" "0.0748160369440253" "0.0680041323808446" "0.19386213273256" "0.152704574300804" "0.167433568132802" "0.107051366829984" "0.158780243118272" "0.057957764095262" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
