"","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
"341",4,3,4,4,3,3,2,3,2,2,4,4,2,2,3,2,2,4,3,2,2,4,2,4,2,4,2
"238",4,4,4,3,4,5,5,1,2,5,1,1,3,2,5,2,5,5,4,4,2,2,2,3,1,3,1
"355",2,2,2,2,4,3,3,3,4,3,4,3,2,3,4,4,3,3,3,3,2,4,3,4,4,4,3
"164",3,3,3,2,2,4,1,3,1,4,3,4,2,5,2,4,4,4,2,2,4,3,1,4,4,4,2
"128",4,4,3,2,4,4,4,3,5,3,4,4,2,2,4,4,4,4,2,3,2,5,3,3,2,4,2
"281",2,3,3,2,3,4,2,2,4,2,2,4,2,3,2,3,3,3,3,3,4,2,2,4,3,5,4
"151",3,2,3,2,3,4,4,2,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4
"216",4,3,4,2,5,4,3,4,5,4,3,2,4,2,4,2,3,5,3,2,3,4,2,4,2,4,3
"76",2,1,2,1,2,2,4,2,5,4,4,4,1,2,2,2,1,3,1,2,4,4,4,5,4,5,2
"207",2,1,1,2,3,4,1,3,4,5,2,1,1,2,2,2,1,4,1,3,2,2,2,4,2,4,2
"69",2,2,4,2,4,4,4,4,4,4,4,4,2,2,3,4,2,4,4,4,2,4,4,4,2,4,2
"21",1,2,2,2,2,3,2,3,3,3,3,2,2,3,3,2,2,3,3,3,5,3,3,5,3,4,3
"319",2,2,2,2,3,2,5,2,4,3,3,3,2,2,2,4,2,3,2,2,4,2,4,2,4,4,2
"351",2,1,3,1,2,4,1,3,3,4,2,3,2,1,4,2,2,4,2,2,4,2,3,2,4,4,3
"60",2,2,2,2,3,3,1,3,3,4,3,2,2,4,3,3,4,3,3,2,3,4,3,4,3,3,3
"187",3,2,2,3,4,4,5,2,4,5,2,2,5,4,5,4,4,5,5,2,2,1,3,2,2,2,2
"333",1,1,1,1,1,2,1,2,4,4,1,1,4,5,2,4,2,4,2,3,4,5,1,5,5,5,3
"357",2,2,2,2,3,4,3,4,4,2,2,4,2,5,4,2,4,5,4,4,2,1,2,2,2,4,1
"24",3,2,2,2,4,4,2,4,4,4,4,4,2,5,2,4,4,5,2,2,2,4,4,4,2,4,3
"104",3,3,3,3,4,3,1,3,4,3,3,3,3,5,3,4,3,4,3,4,2,3,2,4,2,3,2
"454",1,1,1,1,1,4,1,3,2,5,2,3,3,3,2,2,2,4,3,3,4,4,1,4,5,4,2
"314",4,4,3,3,5,4,3,3,4,5,3,2,4,2,3,3,3,4,4,2,3,5,3,5,2,4,3
"299",3,2,4,3,4,4,4,4,5,4,4,4,2,4,3,4,3,3,3,3,3,3,4,4,4,4,3
"97",2,1,2,2,3,4,2,2,4,4,3,4,3,4,1,2,2,5,4,1,2,2,2,4,1,4,2
"310",2,2,3,2,3,3,2,2,4,5,3,3,2,2,3,2,3,4,2,3,3,3,2,2,3,3,3
"145",2,3,3,3,3,3,2,3,4,3,3,3,3,4,4,3,3,4,3,4,3,2,3,2,3,4,2
"406",2,2,2,3,3,2,3,1,2,3,2,2,3,4,4,4,3,4,3,4,4,3,4,4,3,4,2
"228",3,3,4,3,3,4,1,4,4,3,4,4,3,4,3,4,3,4,4,4,2,3,4,4,3,4,2
"231",3,2,3,2,4,4,2,4,4,4,4,3,3,3,4,5,4,5,3,3,2,4,2,4,2,5,2
"26",4,1,4,1,4,4,1,1,3,4,2,2,1,5,2,4,4,4,2,4,2,3,2,5,4,5,3
"317",4,2,3,2,4,5,2,4,5,3,3,3,3,3,2,3,3,4,2,3,4,5,4,5,2,4,4
"437",2,2,3,2,3,3,3,2,4,4,3,3,2,3,3,2,2,3,2,3,1,2,3,2,1,3,1
"188",4,2,2,2,2,4,2,2,3,2,2,2,4,3,2,3,2,4,2,2,4,2,3,2,2,4,3
"113",3,2,3,2,3,3,3,3,3,4,2,2,3,3,3,4,3,3,3,3,2,4,3,4,2,4,3
"139",1,1,1,1,2,3,4,1,2,4,2,1,3,2,2,2,2,3,2,2,3,2,3,2,2,4,2
"396",4,2,3,2,5,4,2,2,5,5,4,4,1,5,4,4,4,3,2,3,3,3,4,5,2,3,3
"196",2,2,2,2,4,2,1,2,2,4,2,2,4,4,4,4,4,5,3,4,2,2,2,2,2,4,2
"158",2,2,2,2,4,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,3,2,4,2,4,2
"184",2,3,2,2,3,3,4,2,2,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,3
"388",2,2,3,2,3,2,3,2,4,2,1,1,2,3,2,4,2,3,3,3,2,2,3,3,3,3,4
"270",3,1,4,2,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,2,2,3,4,2,4,2
"72",1,1,1,1,2,2,2,2,3,4,2,2,3,4,2,4,2,3,2,2,4,4,4,5,2,4,3
"178",3,1,2,2,3,2,1,3,4,2,3,2,2,3,2,4,2,5,1,2,3,4,4,5,5,4,3
"276",3,2,3,2,3,4,2,3,4,3,5,4,4,4,4,2,3,4,4,3,3,4,2,3,3,3,4
"136",2,2,3,2,4,4,2,2,4,4,4,3,3,3,3,3,3,4,3,4,2,3,3,3,3,4,3
