"","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
"378",2,2,2,2,4,2,3,2,3,4,3,3,3,3,2,2,3,4,2,4,3,4,3,4,4,4,3
"95",4,3,4,2,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,4,4,5,4,5,4
"18",3,2,3,3,3,4,1,3,4,4,2,3,3,3,2,3,3,4,4,3,2,4,2,4,2,4,2
"59",2,3,2,3,4,3,2,1,4,5,2,3,3,4,4,4,4,5,4,3,1,4,1,2,4,4,1
"230",2,1,1,1,3,3,2,1,4,4,1,3,3,4,2,4,3,4,3,5,4,3,2,4,4,4,2
"451",2,3,2,3,3,3,2,2,3,5,2,2,3,4,3,4,4,3,3,5,4,2,2,3,4,3,4
"398",1,1,1,1,3,4,1,2,4,5,3,3,2,2,4,4,4,5,2,3,4,4,4,5,3,4,3
"360",1,2,2,5,4,3,1,4,4,5,1,4,1,2,5,5,3,4,3,2,2,4,1,5,1,5,3
"70",3,3,3,2,4,4,4,2,4,4,4,3,3,4,3,2,4,4,2,2,2,2,2,4,2,4,2
"31",3,2,3,2,3,4,4,2,4,3,4,2,2,2,2,2,3,3,2,2,4,4,2,4,3,4,3
"20",3,2,2,1,3,2,1,3,2,3,3,3,3,3,3,3,2,4,2,3,2,2,3,2,2,3,3
"326",5,2,5,5,5,4,1,5,5,5,3,2,4,1,4,3,5,5,3,4,3,5,1,5,2,5,2
"305",3,2,2,3,3,5,2,2,2,4,5,3,2,5,3,4,3,4,3,3,3,3,3,4,5,5,3
"121",4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,5,4,2,5,4,4,4
"438",2,2,2,2,2,3,2,2,3,4,3,3,3,3,3,3,4,4,2,3,2,2,2,2,3,4,2
"283",1,2,1,1,2,2,3,2,3,4,3,1,4,2,2,1,3,4,2,3,4,1,1,2,2,4,1
"134",2,1,2,2,3,4,4,4,4,4,4,4,2,4,4,4,4,5,4,2,4,4,2,4,2,4,2
"217",2,1,2,2,3,3,2,2,4,2,2,2,2,1,3,4,2,3,1,3,2,2,3,2,2,3,1
"322",3,3,4,2,3,4,3,2,4,4,4,2,2,3,2,2,2,4,2,2,4,4,4,4,4,4,4
"214",2,2,2,2,4,2,4,2,4,4,3,3,2,2,2,2,2,4,2,2,4,4,4,5,4,4,3
"175",3,2,3,3,3,4,4,2,4,4,4,3,2,4,2,2,2,4,3,4,3,4,4,5,3,5,2
"306",4,3,4,2,4,4,2,4,4,4,5,4,2,3,3,3,3,4,4,3,3,3,4,4,2,4,3
"384",1,2,1,2,2,3,2,2,4,3,3,3,3,3,3,2,2,3,2,3,2,2,3,4,3,4,3
"6",4,2,4,3,4,4,2,4,4,2,4,3,3,4,3,2,3,4,2,4,2,4,3,3,1,3,3
"50",2,2,2,2,2,3,3,2,4,3,2,3,2,3,3,4,3,3,3,3,4,3,3,3,4,4,3
"330",3,1,3,3,4,2,3,2,4,4,3,3,3,5,4,4,4,5,4,4,3,2,1,2,4,3,4
"325",2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,4,2,3,2,4,3,2,2,4,4,2,2
"222",3,3,4,2,2,5,3,3,4,4,4,3,3,4,4,2,2,4,2,3,2,4,3,4,3,4,2
"71",4,5,5,4,5,3,2,5,4,4,4,4,2,3,5,3,4,4,3,3,2,4,3,5,2,5,2
"304",3,1,4,1,3,4,1,2,3,2,2,2,3,3,2,2,2,4,2,2,2,4,1,4,2,4,2
"445",1,1,1,1,4,2,2,1,4,3,2,1,1,2,2,2,2,4,3,2,2,2,3,3,2,4,2
"375",1,2,1,1,3,4,4,4,4,5,2,4,4,5,4,2,4,4,4,5,2,1,3,2,1,2,2
"426",1,1,2,3,1,3,3,2,4,5,2,3,2,2,4,3,4,5,4,3,3,4,3,5,3,4,4
"197",3,2,3,2,4,4,2,3,4,4,4,4,2,4,3,4,3,4,3,2,3,3,4,5,3,4,3
"198",4,3,4,3,5,4,2,4,4,4,4,4,4,2,4,4,4,4,4,3,2,4,3,4,3,4,3
"55",3,3,3,2,3,4,4,2,3,3,3,2,2,3,2,2,2,4,2,4,4,4,4,5,3,4,4
"417",3,3,5,2,4,4,2,3,4,5,3,4,3,5,4,4,5,4,4,4,2,5,2,5,4,5,2
"126",2,1,1,1,2,2,5,1,4,5,2,4,1,1,1,1,1,4,2,3,1,4,5,5,1,5,3
"108",2,2,2,2,4,4,1,3,5,5,4,4,4,4,4,4,4,5,4,4,2,3,1,5,3,4,2
"165",1,1,1,1,3,4,2,1,1,3,3,1,2,2,2,2,2,3,3,1,4,3,5,3,5,3,5
"403",2,1,2,1,4,4,2,5,5,3,2,4,5,3,2,3,4,5,2,2,1,5,3,5,3,5,2
"147",2,2,2,2,2,3,2,2,2,3,3,3,3,4,3,3,4,3,2,3,3,2,4,5,4,4,3
"137",4,1,3,2,4,4,4,2,4,4,4,4,1,2,3,2,3,4,2,2,4,4,2,4,2,5,2
"56",2,1,2,2,5,3,2,2,4,4,3,4,2,5,5,5,4,5,2,5,1,3,4,5,4,5,5
"168",2,2,2,2,3,3,2,2,3,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,3,4,4
"296",2,1,2,2,3,2,2,2,4,4,2,2,3,3,3,3,3,4,3,3,2,2,2,3,3,3,2
"170",2,2,2,2,3,2,2,2,3,3,3,3,2,4,2,3,2,3,3,3,3,2,2,2,2,4,2
"142",3,2,2,3,2,4,2,2,4,4,3,2,2,4,2,4,2,4,3,4,2,2,3,4,2,4,2
"100",2,2,2,4,4,2,3,2,3,2,2,2,4,4,4,2,4,3,3,4,2,3,4,4,4,4,3
"190",2,2,2,2,4,4,1,2,4,2,2,4,3,3,4,4,4,3,3,4,2,2,2,3,2,4,3
"291",2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,2,4,3,2,2,4,2
"160",2,2,2,2,3,2,2,2,1,4,2,2,1,3,4,3,4,4,4,3,3,5,4,5,5,5,3
"389",4,3,4,2,5,4,4,3,5,4,3,4,2,3,3,3,3,4,3,3,4,5,4,4,5,5,4
"203",1,1,2,1,2,2,1,1,4,1,4,2,4,4,4,4,4,3,4,4,2,3,3,3,4,4,3
"416",1,1,3,1,4,3,2,2,3,5,1,1,2,2,2,2,2,5,3,2,1,2,1,4,1,5,1
"439",3,2,3,2,4,3,1,1,3,2,4,3,5,2,2,3,2,3,1,2,4,5,4,3,4,5,4
"266",1,2,2,2,3,3,2,2,3,3,3,2,2,3,2,3,3,4,2,2,4,4,4,4,4,4,4
"376",2,2,2,2,2,4,1,2,2,3,3,2,3,4,2,2,2,3,2,3,4,2,4,4,4,4,3
"46",4,4,4,4,4,4,2,4,2,2,3,2,2,2,2,2,2,4,2,2,2,3,2,4,2,4,2
"29",2,2,3,1,4,4,1,2,3,3,3,2,3,2,4,2,2,4,4,3,2,3,2,2,2,4,3
"407",1,1,1,1,3,1,2,1,3,5,2,2,1,1,3,2,3,4,3,2,1,4,1,4,3,4,3
"93",2,3,4,2,5,4,4,4,4,5,4,4,2,5,5,4,4,5,2,4,2,5,4,5,2,5,4
"340",2,1,1,2,2,3,3,2,4,3,1,1,3,3,2,2,4,3,2,3,4,5,4,5,4,5,3
"103",2,1,3,2,4,2,2,2,4,4,4,4,1,3,4,3,4,4,2,3,2,2,4,4,2,4,2
"232",1,1,2,2,4,3,2,3,2,4,2,2,2,3,2,3,4,5,2,3,3,4,3,4,3,5,2
"202",1,1,1,2,2,2,1,2,2,2,3,2,3,5,5,5,4,3,2,5,5,4,5,5,4,5,5
"11",4,4,5,4,5,4,4,5,5,2,4,5,2,2,2,1,2,5,2,2,1,5,1,3,2,5,2
"194",2,3,2,2,4,4,1,4,5,5,4,5,4,4,4,3,4,5,3,4,2,1,3,4,2,4,3
"94",3,2,3,3,5,3,3,3,4,5,5,3,3,3,3,3,2,4,3,3,3,5,4,3,5,5,3
"419",1,2,2,1,3,2,2,1,4,4,3,1,2,4,4,2,4,5,3,4,3,4,3,4,4,5,3
"127",2,2,1,2,2,2,2,2,2,3,1,1,2,2,3,4,3,2,2,4,2,2,2,4,4,5,2
"295",1,2,1,2,3,2,4,2,2,4,4,3,3,3,3,4,2,3,2,1,4,4,4,4,3,5,4
"86",2,2,2,2,3,4,3,2,4,4,4,2,3,3,4,2,3,4,4,3,4,4,2,4,4,4,3
"420",1,1,1,1,5,1,4,4,2,4,4,2,1,1,2,2,2,5,2,2,1,5,2,4,5,5,3
"367",3,3,3,2,4,4,4,4,4,4,4,4,4,3,2,4,3,4,4,4,2,2,2,1,1,4,1
"181",3,2,3,2,3,4,3,3,4,4,5,3,2,3,2,3,3,4,3,2,2,4,3,5,3,4,2
"379",4,3,4,2,4,3,1,3,2,1,2,3,5,5,4,4,4,5,4,4,2,4,4,3,2,3,5
"284",3,2,3,2,3,5,2,2,4,5,3,4,2,4,4,4,4,4,2,4,4,5,2,5,4,4,2
"180",3,3,3,2,3,4,2,4,4,4,3,4,3,2,2,4,2,3,2,2,4,4,3,4,4,4,2
"130",2,1,2,2,3,3,2,1,2,4,2,1,1,3,4,2,2,4,1,3,4,4,4,4,4,5,4
"374",2,1,1,1,3,4,4,3,4,3,3,3,2,2,2,2,2,4,2,2,3,1,4,4,3,4,5
"332",3,4,1,3,2,3,1,2,3,4,3,2,5,3,3,2,3,4,2,3,1,2,1,3,2,4,2
"156",2,3,3,2,3,4,2,3,4,4,4,3,4,4,2,3,3,4,3,3,4,4,4,4,2,4,3
"205",3,2,3,2,4,4,3,3,4,5,4,2,3,4,2,2,4,4,2,3,2,1,2,5,2,4,2
"448",2,3,1,2,1,2,1,2,5,2,3,4,4,3,4,4,4,4,4,4,2,1,3,1,3,2,2
"135",2,1,2,1,4,4,2,3,4,5,3,2,3,5,3,4,3,2,3,3,3,2,5,4,5,3,2
"427",1,2,3,1,4,3,2,2,4,3,2,3,3,3,2,3,3,4,2,3,2,2,3,2,2,4,4
"249",1,1,1,1,2,2,1,1,3,3,2,3,1,4,4,4,3,4,2,4,2,2,2,4,2,4,3
"430",2,2,2,3,3,3,2,3,4,4,3,3,4,4,4,3,4,4,4,3,2,4,2,4,2,4,1
"19",3,1,3,2,3,4,2,2,4,3,3,3,5,3,3,3,3,4,3,3,4,4,4,4,4,4,3
"402",2,2,2,2,2,4,2,3,3,4,4,1,4,2,2,2,2,5,2,2,2,2,2,3,4,2,2
"362",1,2,2,1,3,2,3,2,3,3,2,2,3,4,3,3,3,4,3,3,4,2,5,2,5,4,5
"292",3,2,4,2,3,4,2,4,4,4,4,4,3,3,3,4,4,4,5,4,2,2,2,2,1,4,1
"117",3,2,2,3,3,3,3,3,4,4,4,4,3,4,4,3,3,3,2,4,4,4,4,4,2,4,3
"68",4,2,3,2,4,4,2,3,5,4,4,3,4,4,4,2,2,2,2,2,1,3,2,5,2,4,2
"342",4,2,2,2,4,3,4,4,4,3,2,2,3,2,3,2,2,3,2,2,2,2,4,5,3,4,2
"39",1,1,2,2,4,2,2,2,4,4,4,1,2,5,3,5,3,5,3,5,4,4,5,3,4,4,5
"254",3,3,2,2,5,4,1,1,5,4,5,5,1,3,2,2,4,5,2,2,1,2,2,2,2,5,1
"391",4,1,3,1,5,3,1,1,2,2,2,3,1,2,2,1,1,3,1,2,3,1,1,2,2,2,1
"38",2,1,3,2,4,4,1,2,3,5,3,4,3,3,1,2,2,4,4,2,2,2,4,2,2,3,2
"146",1,2,1,2,2,2,2,2,4,4,2,2,2,2,3,4,4,3,2,4,3,3,4,4,4,4,4
"45",3,1,5,2,4,3,3,2,5,4,5,4,2,5,5,5,5,4,2,5,3,5,5,5,3,5,3
"73",2,1,3,2,5,3,3,4,4,5,4,4,2,2,2,3,3,5,3,3,4,4,3,1,2,4,1
"225",1,1,2,1,4,3,3,1,4,4,2,3,2,4,2,3,3,5,3,4,3,4,4,5,5,4,2
"163",2,2,2,2,4,3,2,2,3,4,2,3,2,4,3,2,3,3,2,3,3,2,2,3,3,3,4
"92",3,1,3,2,4,2,3,2,4,4,3,4,3,2,2,3,3,4,2,4,3,1,3,2,3,2,1
"244",1,2,1,1,1,4,2,2,4,4,4,2,1,2,2,4,1,4,2,2,2,2,4,2,4,5,5
"356",4,2,4,2,2,4,1,2,5,5,4,4,4,3,5,5,5,4,4,4,2,4,4,4,4,4,3
"313",4,2,4,2,4,4,2,4,4,4,4,4,2,4,3,2,3,4,2,4,2,2,2,4,2,4,2
"8",2,3,4,4,4,4,1,3,5,5,4,5,2,3,2,2,2,4,4,2,1,2,1,3,1,5,2
"57",3,2,4,2,5,5,1,5,5,4,4,2,4,5,4,4,4,5,3,4,4,5,4,5,2,5,4
"286",2,3,2,2,3,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,4,3
"17",1,1,1,1,2,2,2,1,2,2,3,2,3,2,2,2,2,4,2,2,2,2,4,4,2,4,4
"148",3,2,2,2,3,4,2,2,3,4,2,3,2,4,2,4,3,4,3,4,2,2,2,4,2,4,4
"149",1,1,1,1,3,4,2,1,4,2,3,1,2,3,4,3,3,3,3,4,2,5,3,4,2,4,2
"294",2,2,3,2,3,3,2,1,2,3,2,3,3,2,2,2,2,4,2,2,2,3,3,1,3,3,3
"42",1,1,1,1,1,4,4,1,4,4,4,2,3,3,2,2,2,4,4,2,4,3,2,5,1,2,2
"171",3,2,2,2,3,2,1,2,4,3,2,2,3,2,3,4,3,3,4,4,3,2,2,4,4,4,2
"350",2,2,2,1,4,3,2,1,2,3,4,3,2,4,4,2,2,3,3,3,4,2,2,1,2,4,1
"15",2,2,2,2,4,2,4,2,3,2,3,2,2,3,2,4,3,2,3,2,4,3,4,3,4,3,4
"372",2,2,2,2,4,4,1,3,2,3,4,2,4,4,3,3,4,4,2,3,2,3,2,4,1,4,2
"138",2,1,2,1,1,3,2,2,3,4,2,2,1,2,1,2,1,3,1,4,4,2,3,4,4,5,2
"195",4,2,4,2,5,5,4,3,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,2,5,5
"220",2,1,1,1,3,3,2,3,4,2,4,3,4,2,3,3,4,4,4,3,4,3,4,2,3,4,2
"143",1,2,3,1,4,4,2,2,4,4,5,5,2,4,2,4,3,5,2,4,2,3,2,3,2,5,2
"209",1,1,1,1,4,4,1,1,4,4,1,1,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5
"404",1,1,2,1,1,1,4,1,2,4,2,2,3,4,1,2,3,4,2,3,2,2,4,2,4,4,2
"34",2,3,3,4,2,3,1,1,4,1,2,1,2,2,3,3,3,5,2,3,1,1,1,1,1,4,1
"30",1,1,1,2,2,2,3,1,4,1,4,1,3,4,3,4,4,4,3,4,4,2,2,3,3,4,4
"10",3,2,4,3,4,4,4,3,4,4,2,3,2,2,4,2,4,4,2,2,2,1,2,2,2,3,2
"399",3,2,3,2,4,2,2,2,4,4,2,3,2,3,2,3,3,4,2,2,3,3,4,3,3,4,3
"159",1,3,3,3,5,5,1,3,4,4,2,4,5,3,3,2,4,4,4,3,1,5,1,5,2,4,1
"154",3,2,2,2,4,4,2,2,4,3,2,3,1,2,3,4,2,4,2,3,2,2,2,3,4,2,1
"211",3,3,3,3,3,4,2,3,4,4,3,3,2,3,3,3,3,4,3,3,2,4,2,4,3,4,3
"199",2,2,2,2,3,1,4,1,4,5,1,2,4,2,4,2,4,5,4,3,2,2,1,3,2,4,2
"256",3,3,3,2,3,4,4,3,4,5,4,5,2,4,4,4,3,4,2,2,2,4,4,5,2,4,2
"455",2,2,2,2,1,4,2,4,5,4,2,3,2,2,4,2,5,5,3,4,2,4,4,5,2,4,2
"452",4,3,4,2,4,5,2,5,3,4,2,3,3,5,4,3,4,4,3,4,3,4,2,4,3,4,3
"213",2,2,4,2,4,4,2,3,4,4,4,4,2,2,4,2,3,4,3,2,3,4,4,4,3,4,2
"412",3,2,3,2,4,4,4,4,4,2,4,4,2,4,2,2,2,4,3,2,2,2,2,2,3,4,2
"65",1,2,2,3,2,2,1,1,5,4,4,3,3,3,4,4,3,4,2,4,2,3,2,4,1,4,1
"49",3,2,3,2,2,4,3,3,4,4,3,3,2,2,2,2,2,4,2,2,2,3,3,4,3,4,2
"345",3,2,2,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,2,2,2,2,3,4,3,4,3
"132",1,1,2,1,2,3,4,2,3,4,2,3,2,2,3,3,3,4,2,2,4,2,4,3,4,4,4
"287",1,2,3,1,3,4,3,2,3,4,3,2,3,2,4,3,4,4,2,5,2,4,4,3,3,4,2
"179",1,1,2,1,4,2,2,1,3,4,2,1,1,3,4,3,1,2,2,3,4,2,4,2,4,4,3
"107",3,3,2,2,4,4,2,4,4,4,4,4,3,2,3,2,2,4,2,2,2,4,2,4,3,4,3
"1",3,2,3,3,4,4,4,2,4,4,2,4,2,4,2,3,2,3,4,3,3,2,3,4,3,4,3
"392",4,3,4,4,4,4,1,4,4,2,3,4,2,3,4,3,4,4,4,2,2,2,2,4,2,4,2
"152",2,2,2,2,4,4,1,2,4,2,3,3,2,4,2,4,3,3,3,4,2,2,1,3,2,4,2
"234",2,2,1,2,2,4,4,2,4,5,2,4,2,5,2,2,3,4,2,2,4,2,4,3,4,4,2
"344",2,1,2,1,2,4,3,3,2,5,2,3,2,2,2,1,2,5,3,2,2,2,1,3,2,3,1
"212",2,2,3,2,4,4,2,3,4,5,4,3,4,5,4,3,4,4,3,4,2,5,2,3,2,4,2
"84",2,1,2,2,3,3,2,3,4,4,3,2,4,4,4,4,4,4,3,4,3,1,3,4,3,4,3
"241",3,2,3,2,3,4,3,3,4,2,4,3,2,3,2,3,3,4,3,3,4,4,4,5,3,3,3
"157",1,2,2,2,4,2,1,2,4,3,2,2,4,2,3,4,4,2,2,4,4,4,4,3,5,4,5
"415",2,2,4,2,3,2,2,2,3,4,3,2,2,2,2,2,2,5,3,2,2,4,2,4,3,5,3
"106",3,3,3,3,4,2,1,1,4,5,1,2,4,3,2,2,4,5,3,3,2,2,1,2,1,2,2
"236",2,2,2,2,4,3,2,1,4,4,4,4,2,3,2,2,4,5,3,2,2,4,3,4,4,5,4
"273",2,1,2,1,3,4,2,3,4,5,3,4,3,2,3,1,2,4,2,3,2,2,2,3,2,3,3
"290",4,4,4,3,5,5,3,4,2,5,4,2,2,2,2,5,1,4,2,2,2,5,5,3,5,5,5
"9",3,2,2,2,3,4,1,3,3,4,3,3,2,3,3,4,4,3,2,4,2,2,4,5,2,5,3
"116",2,2,4,3,4,2,2,2,5,2,4,4,3,4,4,4,4,5,4,4,4,2,2,5,4,5,2
"153",3,1,3,2,4,2,3,3,4,3,3,3,3,2,4,3,3,4,3,3,1,3,4,4,4,4,2
"229",2,2,2,2,3,4,2,2,3,4,3,3,2,3,2,3,2,2,2,3,3,2,3,4,3,4,3
"27",2,1,3,1,4,1,3,1,4,3,3,4,2,2,2,2,2,4,2,2,2,5,4,3,4,4,5
"161",2,2,2,2,3,2,2,3,5,4,4,3,2,2,3,3,4,4,2,4,2,2,1,2,2,4,2
"124",2,2,2,2,4,4,2,4,4,5,4,3,2,4,2,3,4,4,2,3,1,4,2,4,2,4,2
"258",3,1,1,2,2,2,1,3,2,4,3,2,2,2,1,2,1,3,1,2,2,2,2,4,1,4,1
"240",4,1,4,2,5,2,3,2,1,5,1,1,2,4,4,2,4,5,5,5,2,4,4,5,3,5,4
"377",3,2,2,2,4,2,2,2,4,4,2,2,4,4,4,2,2,4,2,4,2,4,2,4,4,4,2
"204",3,2,2,3,3,4,2,3,4,3,3,2,2,4,4,4,4,3,2,4,4,4,3,5,2,4,2
"395",2,2,2,2,4,4,2,3,4,4,3,3,4,4,2,4,3,5,4,3,2,3,2,4,3,4,2
"88",2,2,3,3,4,3,4,3,5,5,3,2,2,4,5,3,3,5,3,3,4,5,3,4,4,5,3
"409",2,1,1,1,2,3,1,2,3,2,4,4,4,4,4,2,4,4,4,4,2,2,2,3,2,4,2
"336",4,4,4,4,4,5,1,2,4,5,4,4,2,5,4,2,4,3,3,3,2,4,1,4,1,4,2
"423",2,1,2,2,3,3,3,2,3,4,3,2,3,4,3,4,4,4,3,4,4,3,4,2,3,4,4
"32",3,2,3,2,3,4,2,3,3,2,3,2,3,3,4,3,3,4,3,3,3,2,2,3,3,5,3
"182",3,2,2,2,3,2,1,2,3,4,4,2,4,3,2,2,3,3,3,2,4,2,4,3,4,2,4
"189",2,1,2,1,4,3,1,1,3,2,4,2,4,3,4,4,3,4,2,3,2,3,3,4,4,4,2
"5",4,3,4,2,4,4,5,2,5,4,4,3,3,2,3,3,4,4,2,4,2,1,4,4,5,4,2
"285",2,1,2,2,3,3,1,2,3,2,4,3,1,5,3,4,2,4,2,4,4,5,4,5,3,5,3
"461",2,2,2,2,3,4,2,1,3,4,3,2,2,5,4,4,4,4,4,4,3,5,5,3,3,4,3
"784",2,2,2,3,3,3,1,2,4,4,4,3,3,1,4,3,3,4,2,3,1,4,2,4,2,4,3
"602",1,1,1,1,4,4,3,2,5,4,1,5,3,2,5,1,5,5,2,2,2,5,5,5,4,5,3
"664",1,1,1,1,3,3,2,2,3,4,3,1,2,3,4,3,3,3,2,4,3,4,3,5,4,4,4
"509",2,1,2,3,3,2,3,2,3,5,3,3,2,2,3,2,3,4,3,2,2,4,2,4,2,4,3
"650",2,2,1,1,4,2,1,1,4,4,4,3,4,3,5,5,4,4,2,3,2,4,2,5,5,4,4
"533",3,1,3,3,3,5,3,3,3,4,3,3,4,3,3,3,3,4,3,3,2,4,3,5,3,5,2
"545",1,1,2,2,4,3,3,1,4,4,5,4,1,2,3,2,3,3,3,3,3,3,3,4,2,4,3
"574",2,2,2,2,3,3,2,2,4,3,4,3,2,3,4,3,3,4,2,3,3,1,4,4,3,4,4
"733",2,2,2,2,4,4,3,2,3,4,2,2,3,3,4,3,3,3,3,3,2,3,4,5,2,5,3
"473",3,2,4,3,3,4,3,3,4,4,2,4,5,3,2,3,3,5,4,4,3,4,3,5,3,5,3
"482",1,2,1,2,3,2,3,1,4,4,3,2,2,4,4,4,4,4,3,4,1,2,4,5,1,4,2
"484",3,2,3,2,4,3,2,3,4,4,4,3,2,3,4,3,4,4,3,3,2,4,4,4,2,4,2
"557",1,1,1,1,4,1,1,1,2,3,2,2,1,4,4,1,4,5,2,4,4,4,4,5,2,4,5
