"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.418883296798728" "0.318013223391852" "-0.0680935884674207" "0.865548335199875" "0.789583676433289" "0.861542791051762" "0.747136763831732" "0.741097566038114" "0.331067795744974" "0.26525240380115" "0.393572776062027" "0.211145103772949" "0.272744026969677" "0.221700291406611" "0.198636882147152" "0.291269872959418" "0.0241347309401872" "0.30164020880533" "0.107853383227929" "0.268481515145129" "0.321277290430769" "0.341955010137959" "-0.0929257826519024" "-0.0924803015076873" "-0.106166364612048" "-0.0187792026789783" "-0.00997444041227088" "-0.129089218742124" "-0.00642261165461787" "0.0119933773492779" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.418883296798728" "1" "0.16115647970104" "-0.0606361890784599" "0.379268314039428" "0.371329118426317" "0.346806410591952" "0.3320658501324" "0.252874994399838" "0.654480195143538" "0.601142855025972" "0.710168651957172" "0.652900472363114" "0.600519712337766" "0.669304142147622" "0.651208756062857" "0.256618592441998" "-0.0702223096859483" "0.152514220459236" "-0.079070309824019" "0.142741337642281" "0.27488154614531" "0.244696269772823" "-0.166800586970449" "-0.0753916010122165" "-0.0737726182916452" "0.0146587695014148" "-0.0547405437967987" "-0.139670364040336" "0.00808336949507217" "0.0117825149591281" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.318013223391852" "0.16115647970104" "1" "-0.00395980044239927" "0.180957288936225" "0.245653657686839" "0.2006421895931" "0.352780070060997" "0.295369327228097" "0.172354964985728" "0.034667693133068" "0.0987595735419392" "0.132362927783319" "0.134282718009119" "0.0714549996542082" "0.09530687301173" "0.650814988722706" "0.569522893992378" "0.745485392572556" "0.557586810923514" "0.746957456666247" "0.607007151634475" "0.681791670458802" "0.520471298040497" "-0.0318963853367264" "0.00612135742267227" "-0.0542402381151836" "0.00858288969554419" "0.0258175652892358" "0.00126448483892534" "0.0253643328267004" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.0680935884674207" "-0.0606361890784599" "-0.00395980044239927" "1" "-0.0152341202104583" "-0.122689639901804" "0.00860715155917654" "-0.0912482290005425" "-0.0589745023327903" "-0.0330528035284637" "0.000177781014101847" "-0.145244026401502" "-0.0620317754435996" "0.032488604724934" "0.020049591781244" "-0.0928659712220498" "-0.149505343519161" "0.203830393087503" "-0.0220869211854526" "0.138645762910562" "0.0714047239967117" "-0.253824647053764" "-0.126102593984294" "0.1795328648633" "0.770022452019403" "0.668700822216268" "0.701904595653846" "0.750593001573452" "0.704042348074281" "0.756967349183027" "0.673286696740706" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.865548335199875" "0.379268314039428" "0.180957288936225" "-0.0152341202104583" "1" "0.616559105927334" "0.790035342480747" "0.517637990918774" "0.537229475424122" "0.268381670361266" "0.276604630837326" "0.354352776664146" "0.180729479308677" "0.247625207227544" "0.208296651501001" "0.174586954924115" "0.193186998741942" "-0.0315413663193245" "0.189298276418146" "0.0515453641789472" "0.178210632020787" "0.210117885234387" "0.230807750539873" "-0.1471493909935" "-0.0428806609469059" "-0.0826236990963977" "0.0241834335144095" "0.0183680815304772" "-0.0897927669008586" "0.0290818560225264" "0.0549067542158262" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.789583676433289" "0.371329118426317" "0.245653657686839" "-0.122689639901804" "0.616559105927334" "1" "0.57856565881669" "0.566123618450072" "0.432420852202048" "0.285271483307379" "0.243419920050608" "0.360207149020849" "0.172046376354746" "0.239169884468394" "0.19356152241891" "0.183723602431614" "0.21238400674362" "0.00916186968037441" "0.231632619126718" "0.0564668854419266" "0.214788557878496" "0.26026380982813" "0.286239209486436" "-0.0661971763842774" "-0.13100327894794" "-0.135744265155086" "-0.0862118866185966" "-0.057438480337499" "-0.140565946033093" "-0.0317723454833831" "-0.0427320893165615" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.861542791051762" "0.346806410591952" "0.2006421895931" "0.00860715155917654" "0.790035342480747" "0.57856565881669" "1" "0.505153741408963" "0.562655066805822" "0.268495901081895" "0.226852593313758" "0.325137054900822" "0.174189446695964" "0.230809228210411" "0.194434607568585" "0.147071169765372" "0.18027571062992" "-5.59588087164725e-05" "0.213691825210002" "0.0816672345118391" "0.179905015616643" "0.220077198586497" "0.22935796544567" "-0.126129896018497" "-0.0270916960592606" "-0.0355522425067695" "0.0642288687833251" "0.0367505868890063" "-0.0806487647679758" "0.0230382957324574" "0.0583757562394981" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.747136763831732" "0.3320658501324" "0.352780070060997" "-0.0912482290005425" "0.517637990918774" "0.566123618450072" "0.505153741408963" "1" "0.414846577548962" "0.269441125212547" "0.205173271151189" "0.301464242736222" "0.175638979499254" "0.23101746006528" "0.162631076183166" "0.157161954943349" "0.287138268724115" "0.0798585124667786" "0.321672465565957" "0.107132454250704" "0.30877552643251" "0.291040615131212" "0.345692160872723" "0.0113567162732206" "-0.0852780992153903" "-0.106283608539544" "-0.083136797146495" "-0.0257935587367084" "-0.10735908598351" "-0.0175352399167803" "-0.0398571024676563" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.741097566038114" "0.252874994399838" "0.295369327228097" "-0.0589745023327903" "0.537229475424122" "0.432420852202048" "0.562655066805822" "0.414846577548962" "1" "0.23687536485658" "0.114649734121386" "0.240106965704162" "0.144122743096652" "0.147098569694033" "0.130875895046743" "0.135839693125139" "0.293372676434135" "0.0394672877499698" "0.253178007333744" "0.132610615308399" "0.19669305372169" "0.306251175515973" "0.280858331441433" "-0.0418377438301292" "-0.0891923526903026" "-0.070572356653586" "-0.00249807256621274" "-0.016446095590069" "-0.102058636254137" "-0.0306689080211374" "0.0117734537318026" "1" "0" "0" "0" "1" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.331067795744974" "0.654480195143538" "0.172354964985728" "-0.0330528035284637" "0.268381670361266" "0.285271483307379" "0.268495901081895" "0.269441125212547" "0.23687536485658" "1" "0.232836321352428" "0.497081124446047" "0.307183707487939" "0.305979414443345" "0.345858773888513" "0.29426220268375" "0.212241621141635" "0.0383027435724463" "0.140677706224949" "0.000266822040463179" "0.117769721848135" "0.207378708487941" "0.17518762915455" "-0.04949594834649" "-0.0463222319275485" "-0.00328694224876402" "-0.0182117574068724" "0.0181384492379173" "-0.0994904866276808" "0.0166285493382077" "-0.0232091024834413" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD6" "0.26525240380115" "0.601142855025972" "0.034667693133068" "0.000177781014101847" "0.276604630837326" "0.243419920050608" "0.226852593313758" "0.205173271151189" "0.114649734121386" "0.232836321352428" "1" "0.32979081529881" "0.297471656668144" "0.308602609073435" "0.245931559192462" "0.247225493087588" "0.11022763066611" "-0.119457473575269" "0.0602306036786785" "-0.0974681257356433" "0.0819659912377126" "0.122809451734973" "0.11659385644942" "-0.142772251390383" "0.00553689163542371" "-0.0721013229297047" "0.0569113798458158" "-0.0342344959099255" "-0.055565790644852" "0.0279949263183139" "0.0556843013910495" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.393572776062027" "0.710168651957172" "0.0987595735419392" "-0.145244026401502" "0.354352776664146" "0.360207149020849" "0.325137054900822" "0.301464242736222" "0.240106965704162" "0.497081124446047" "0.32979081529881" "1" "0.338747512266005" "0.308250860917407" "0.379911805154068" "0.364475264130584" "0.192952523667063" "-0.106963826218319" "0.106553481196106" "-0.0732783129642107" "0.0911447306218648" "0.206672643025792" "0.209705968863763" "-0.180656151036646" "-0.130294791131712" "-0.119494266884223" "-0.077462035299541" "-0.0888882695307899" "-0.180824835875328" "-0.0496277558732034" "-0.0841521434807775" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.211145103772949" "0.652900472363114" "0.132362927783319" "-0.0620317754435996" "0.180729479308677" "0.172046376354746" "0.174189446695964" "0.175638979499254" "0.144122743096652" "0.307183707487939" "0.297471656668144" "0.338747512266005" "1" "0.319877328781313" "0.35443621421638" "0.388731939320213" "0.179511860177959" "-0.0139555917560549" "0.126612654170402" "-0.06087789536862" "0.112717626002526" "0.194043081470414" "0.16625839584525" "-0.0722388945917177" "-0.0833409068675515" "-0.0628621580262831" "0.0202972625998167" "-0.0595820050998116" "-0.113478456469742" "-0.0271957031374778" "0.0115404152821294" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
